mu,Paper,Min Time,Time opt
0.02,42164677,8732862,2282985.1722206073
0.02,39999228,9308307,2438794.3242341354
0.02,43938895,8887051,3126536.1247788626
0.02,50284483,10542539,3549863.429435884
0.02,43707803,9383096,2499766.3649432
0.02,47805514,8332544,3222917.548953929
0.02,51165511,9560579,3115974.4139731484
0.02,45083929,10477204,2898599.4703043927
0.02,45286075,9458910,2730150.1716028093
0.02,43741892,10706024,3073673.2979543903
0.06,27081647,8732862,2282985.1722206073
0.06,27362986,9308307,2438794.3242341354
0.06,34520869,8887051,3126536.1247788626
0.06,41368955,10542539,3549863.429435884
0.06,29165712,9383096,2499766.3649432
0.06,37646179,8332544,3222917.548953929
0.06,36300105,9560579,3115974.4139731484
0.06,36992956,10477204,2898599.4703043927
0.06,32756506,9458910,2730150.1716028093
0.06,35691766,10706024,3073673.2979543903
0.1,16164575,8732862,2282985.1722206073
0.1,16682419,9308307,2438794.3242341354
0.1,20467645,8887051,3126536.1247788626
0.1,23277474,10542539,3549863.429435884
0.1,16928021,9383096,2499766.3649432
0.1,22329378,8332544,3222917.548953929
0.1,21885148,9560579,3115974.4139731484
0.1,21101219,10477204,2898599.4703043927
0.1,18739569,9458910,2730150.1716028093
0.1,19665265,10706024,3073673.2979543903
0.14,12303474,8732862,2282985.1722206073
0.14,13318564,9308307,2438794.3242341354
0.14,16822664,8887051,3126536.1247788626
0.14,18834016,10542539,3549863.429435884
0.14,13257072,9383096,2499766.3649432
0.14,16537910,8332544,3222917.548953929
0.14,16491546,9560579,3115974.4139731484
0.14,15040077,10477204,2898599.4703043927
0.14,14003305,9458910,2730150.1716028093
0.14,16270284,10706024,3073673.2979543903
0.18,9151697,8732862,2282985.1722206073
0.18,9942370,9308307,2438794.3242341354
0.18,12559005,8887051,3126536.1247788626
0.18,14200748,10542539,3549863.429435884
0.18,10055772,9383096,2499766.3649432
0.18,12809438,8332544,3222917.548953929
0.18,12462176,9560579,3115974.4139731484
0.18,11625499,10477204,2898599.4703043927
0.18,10715925,9458910,2730150.1716028093
0.18,12326664,10706024,3073673.2979543903
0.22,7048269,8732862,2282985.1722206073
0.22,7316969,9308307,2438794.3242341354
0.22,9536717,8887051,3126536.1247788626
0.22,10820051,10542539,3549863.429435884
0.22,7587602,9383096,2499766.3649432
0.22,9826653,8332544,3222917.548953929
0.22,9651513,9560579,3115974.4139731484
0.22,8960623,10477204,2898599.4703043927
0.22,8614589,9458910,2730150.1716028093
0.22,9287477,10706024,3073673.2979543903
0.26,5570378,8732862,2282985.1722206073
0.26,5812026,9308307,2438794.3242341354
0.26,7460768,8887051,3126536.1247788626
0.26,8543990,10542539,3549863.429435884
0.26,6080814,9383096,2499766.3649432
0.26,7835505,8332544,3222917.548953929
0.26,7624030,9560579,3115974.4139731484
0.26,6992707,10477204,2898599.4703043927
0.26,6578701,9458910,2730150.1716028093
0.26,7260012,10706024,3073673.2979543903
0.3,4337779,8732862,2282985.1722206073
0.3,4591663,9308307,2438794.3242341354
0.3,5907908,8887051,3126536.1247788626
0.3,6663851,10542539,3549863.429435884
0.3,4704013,9383096,2499766.3649432
0.3,6077321,8332544,3222917.548953929
0.3,5888527,9560579,3115974.4139731484
0.3,5464274,10477204,2898599.4703043927
0.3,5146285,9458910,2730150.1716028093
0.3,5783159,10706024,3073673.2979543903
0.34,3329644,8732862,2282985.1722206073
0.34,3550785,9308307,2438794.3242341354
0.34,4495121,8887051,3126536.1247788626
0.34,5087223,10542539,3549863.429435884
0.34,3612300,9383096,2499766.3649432
0.34,4647171,8332544,3222917.548953929
0.34,4466980,9560579,3115974.4139731484
0.34,4198767,10477204,2898599.4703043927
0.34,3947378,9458910,2730150.1716028093
0.34,4423256,10706024,3073673.2979543903
0.38,4438594,8732862,2282985.1722206073
0.38,4464170,9308307,2438794.3242341354
0.38,4333627,8887051,3126536.1247788626
0.38,4979544,10542539,3549863.429435884
0.38,4456085,9383096,2499766.3649432
0.38,4421447,8332544,3222917.548953929
0.38,4753872,9560579,3115974.4139731484
0.38,5116088,10477204,2898599.4703043927
0.38,4431901,9458910,2730150.1716028093
0.38,4620715,10706024,3073673.2979543903
0.3819660112501051,4940883,8732862,2282985.1722206073
0.3819660112501051,5266469,9308307,2438794.3242341354
0.3819660112501051,5072555,8887051,3126536.1247788626
0.3819660112501051,5843402,10542539,3549863.429435884
0.3819660112501051,5234893,9383096,2499766.3649432
0.3819660112501051,4885804,8332544,3222917.548953929
0.3819660112501051,5367622,9560579,3115974.4139731484
0.3819660112501051,5786253,10477204,2898599.4703043927
0.3819660112501051,5316491,9458910,2730150.1716028093
0.3819660112501051,5924107,10706024,3073673.2979543903
