P,n,Paper,Min Time,Time opt,mast
900,100,334895.63236854586,267961.94162313227,225441.58652768974,1.4855095615972898
900,100,323882.1437046816,307724.0331331124,220124.3259467316,1.4713600703225258
1400,200,442628.0631646301,358274.8199744542,288337.9450347595,1.5351016776902904
900,100,317172.8985504309,309794.81656937476,226095.98676420422,1.4028240973653854
4500,200,116601.75998912564,126445.31904630284,89705.13845525852,1.299833677279057
2400,200,245403.50404196887,238771.23578218935,168197.1346036097,1.459023095847093
900,100,336588.8757699778,319313.236617047,226174.66606054085,1.488181155001162
1400,200,458828.05976813304,434734.8044129206,306749.983326419,1.4957720772877259
4700,200,118768.53502660952,115973.73698380034,85887.8985209922,1.382832006275958
900,100,350999.16492334503,260892.66426357545,232026.48813325906,1.5127547192877253
2700,300,333774.9133204089,385785.1810333179,232659.08624054634,1.434609405176288
5000,200,105395.07304199928,106442.40381323207,80734.62460973267,1.3054507102928148
100,800,29011961.008603986,16336520.378752602,16336520.378752597,1.7758959886180636
1400,200,444296.90297177696,411241.49115322105,290127.9174362408,1.5313828014135065
900,100,323134.5515463988,264423.2115246345,204974.63067830863,1.5764611965737982
100,900,31939974.974456474,18006306.286463946,18006306.286463946,1.7738215970738551
2400,200,294316.5032981284,293647.09835354594,178937.49027374445,1.644800666690213
4500,200,210313.71969245592,167578.56959481424,115155.9162563489,1.8263388154914768
900,100,328096.6687259621,307871.0013781821,226301.27666397564,1.4498224383114628
1800,500,794674.5130979851,856758.9665276498,567495.4797849066,1.4003186657965705
1400,200,440524.1201608849,498886.6264183027,293478.8389093352,1.5010421936996166
900,100,321472.3291943908,251341.0133001778,220968.961069002,1.4548302514487752
4700,200,207789.13498841674,162510.5871071005,115155.9162563489,1.804415628336948
900,100,316140.61824195634,259109.27110154662,209656.41742991636,1.507898599610648
3300,500,466471.6598128952,551290.6067449271,309542.98897358536,1.5069689071610703
1400,200,376361.1103881291,373191.0099727581,254096.81361255306,1.4811720975061289
5000,200,195102.98460814098,153648.4329341602,115155.9162563489,1.6942506381853772
900,100,331810.9280751565,357861.0126340913,236983.04938546955,1.4001462506942544
4500,200,239347.6116407731,178333.83560631456,137320.72161632078,1.7429824779796836
2700,300,363443.50609489885,394828.65658906207,220903.65501750738,1.6452580020285075
2400,200,314224.22954455327,321251.831176802,169241.28517114048,1.8566641657607532
1400,200,423760.86606060807,362811.40977876034,276147.8757120343,1.534543276742436
100,300,11172711.802828183,6281795.328494754,6281795.328494752,1.778585773424967
100,900,32856055.629915986,18515510.02849263,18515510.028492615,1.7745152890390492
4800,500,371754.6137205929,310970.165563128,218726.61253679788,1.6996313773114833
100,300,10572206.862072708,5964398.6854727,5964398.6854727,1.772552007266567
4700,200,240158.7292201078,178554.80549319062,137320.72161632078,1.7488892163785759
4500,200,245727.7376335109,186579.7523926188,153927.2635835206,1.5963886572970847
1400,200,426355.37052417896,355692.7836017718,282060.48737357726,1.5115742530767495
2400,200,296776.3348393783,362288.0581481755,171195.98936377885,1.7335472398757572
100,800,29116813.496442318,16426446.750771863,16426446.75077184,1.7725570196776848
5000,200,239370.4356921403,171500.868453667,137320.72161632078,1.7431486877920015
100,300,11206385.153866444,6320825.874671791,6320825.874671788,1.7729305277608745
