p,Paper,Min Time,Time opt
500,5111291.498808641,10083853.769583106,2453098.0706650885
1000,4887247.642131011,9070418.889980646,2393337.0387256565
1500,4813371.303358195,8732607.263446499,2373416.6947458466
2000,4783413.773977382,8563701.450179422,2363456.522755941
2500,4764353.923741265,8462357.962219175,2357480.4195619975
3000,4751494.250676773,8394795.636912344,2353496.3507660357
3500,4748502.50457089,8346536.833121755,2350650.5873403484
4000,4733709.96079649,8310342.730278812,2348516.2647710824
4500,4734916.096351024,8282191.761400955,2346856.236106098
5000,4732256.203733855,8259670.986298685,2345528.213174111
500,5720832.254258542,10627863.592973398,2756483.5018340815
1000,5445652.798879424,9638009.213766161,2696956.9313544724
1500,5399547.875893236,9308057.754030406,2677114.741194604
2000,5370393.833981711,9143082.02416254,2667193.6461146683
2500,5334143.760377327,9044096.586241815,2661247.6073144386
3000,5332629.908640471,8978106.29429467,2657291.3976617362
3500,5335940.142915763,8930970.371475283,2654465.5336240926
4000,5321487.175740702,8895618.42936074,2652346.135595859
4500,5318516.3810080355,8868122.474382753,2650697.714907233
5000,5317543.159514715,8846125.710400365,2649378.978356332
500,5569231.786875487,10178423.788138067,2600466.683149136
1000,5195866.415399371,9209706.705254229,2547107.2213907638
1500,5109650.226335002,8886801.010959618,2529867.2056780555
2000,5047289.332911216,8725348.163812304,2521388.0965036675
2500,5041555.463613087,8628476.455523932,2516300.630999036
3000,5024754.757686223,8563895.316665001,2512908.9873292805
3500,5023751.739546335,8517765.93176577,2510486.3847080283
4000,5018974.092474858,8483168.893091356,2508669.432742087
4500,5024250.095551742,8456260.085233467,2507256.2478796896
5000,5016328.672943497,8434733.03894715,2506125.699989771
500,6963742.224058467,11919515.473811233,3269508.337406044
1000,6470545.0865095975,10886593.491818001,3215466.146271094
1500,6403033.647096319,10542286.164486915,3199005.1734100496
2000,6375694.016103364,10370132.500821378,3190909.3345875624
2500,6352804.786783112,10266840.302622044,3186051.83129407
3000,6342992.057706319,10197978.837155828,3182813.4957650737
3500,6340032.2804208975,10148792.076108543,3180500.3989586495
4000,6342271.816433088,10111902.00532306,3178765.576353831
4500,6334060.18504639,10083209.72804549,3177416.2698834157
5000,6339158.885858737,10060255.906223392,3176336.8247070834
500,5712856.256815131,10695136.744603261,2827083.702177847
1000,5504481.761026056,9710919.011594199,2766203.6218668055
1500,5483382.114883107,9382846.433924494,2745910.261763125
2000,5477126.60117495,9218810.145089649,2735763.581711285
2500,5466877.981319077,9120388.371788742,2729675.573680181
3000,5465211.170922391,9054773.856254805,2725616.9016594444
3500,5459804.781220208,9007906.34515914,2722717.850216062
4000,5457774.702447298,8972755.711837381,2720543.5616335245
4500,5457354.4903039485,8945416.330364905,2718852.4482915513
5000,5454499.881146056,8923544.825186932,2717499.5576179726
500,6568583.834031552,9635573.143849192,3272789.8696683515
1000,6480219.922825168,8658113.122686695,3211205.330287286
1500,6458979.348625442,8332293.115632521,3190677.150493598
2000,6399594.151791841,8169383.112105434,3180413.0605967534
2500,6403282.155456552,8071637.109989189,3174254.606658647
3000,6389924.725125259,8006473.10857835,3170148.9706999096
3500,6372939.406421714,7959927.393284892,3167216.373586525
4000,6373271.557551936,7925018.106814811,3165016.925751487
4500,6379675.20822263,7897866.439560296,3163306.2441020133
5000,6366555.033010341,7876145.105756686,3161937.6987824338
500,5917007.169017213,10925857.719382482,2909590.874839308
1000,5721494.8740770295,9901714.57668338,2851786.461487115
1500,5690196.646843273,9560333.529117027,2833764.46908562
2000,5650518.4114564555,9389643.005333837,2824753.472884873
2500,5649259.67697248,9287228.691063926,2819346.875164425
3000,5632842.088931337,9218952.481550647,2815742.4766841256
3500,5634791.941869814,9170183.760469738,2813167.9063410545
4000,5637989.560530371,9133607.219659062,2811236.9785837517
4500,5629605.801263374,9105158.79902853,2809735.145883628
5000,5629018.190837965,9082400.062524106,2808533.6797235273
500,6293570.34248217,11828662.462822814,3006692.4990372113
1000,5984761.097283231,10814881.205894295,2942961.782602274
1500,5917758.208791392,10476954.120251454,2922235.284848058
2000,5868698.411166178,10307990.577430038,2911872.0359709514
2500,5865719.655614601,10206612.451737199,2905654.0866446863
3000,5846760.909174418,10139027.034608625,2901508.7870938433
3500,5843746.346558663,10090751.736659633,2898547.858843242
4000,5840034.284119733,10054545.263197904,2896327.1626552898
4500,5836170.440737429,10026384.672727661,2894599.954509105
5000,5834261.637545858,10003856.200351475,2893218.1879921574
500,6484637.172114433,10755836.912363727,3113659.638425094
1000,6181834.837720456,9782949.800511604,3052182.751741772
1500,6110228.326481011,9458654.096560895,3031695.308714151
2000,6077362.977312205,9296506.244585533,3021451.5872003403
2500,6071420.860771999,9199217.533400327,3015305.3542920537
3000,6063729.620365687,9134358.392610189,3011207.8656865293
3500,6069670.870686306,9088030.434902947,3008281.0881111557
4000,6056955.322041189,9053284.466622503,3006086.004929625
4500,6055815.419264641,9026259.824626612,3004378.7180106565
5000,6052995.160709498,9004640.111029904,3003012.8884754814
500,7256327.440050124,12034575.548642939,3619090.200291997
1000,7073211.743951607,11037974.985070018,3563110.8413524786
1500,7004509.887951688,10705774.79721238,3544451.0550393066
2000,7032331.539676051,10539674.70328354,3535121.161882719
2500,6997745.5573727265,10440014.64692627,3529523.225988768
3000,7001241.18477188,10373574.60935472,3525791.2687261333
3500,6995199.544505792,10326117.439660769,3523125.5849671084
4000,6995347.618236697,10290524.562390324,3521126.32214784
4500,6983629.709247302,10262841.213402176,3519571.339955076
5000,6983829.463073477,10240694.534211682,3518327.3542008647
