eval_id,P1,value,global_best_value,global_best_P1
1,0.24,3.3852102297269453,3.3852102297269453,0.24
2,0.7,3.382771463662238,3.382771463662238,0.7
3,0.6,3.3828286134639067,3.382771463662238,0.7
4,0.86,3.382614713955551,3.382614713955551,0.86
5,0.52,3.38358835621676,3.382614713955551,0.86
6,0.64,3.382614713955551,3.382614713955551,0.86
7,0.16,3.460530341962247,3.382614713955551,0.86
8,0.44,3.384876443705789,3.382614713955551,0.86
9,0.5,3.383810999472594,3.382614713955551,0.86
10,0.8,3.382614713955551,3.382614713955551,0.86
11,0.76,3.382614713955551,3.382614713955551,0.86
12,0.28,3.3846198486185934,3.382614713955551,0.86
13,0.68,3.382614713955551,3.382614713955551,0.86
14,0.32,3.383696178927512,3.382614713955551,0.86
15,0.4,3.385319268510551,3.382614713955551,0.86
16,0.48,3.38397046359154,3.382614713955551,0.86
17,0.1,4.101108551973121,3.382614713955551,0.86
18,0.9,3.402707134810902,3.382614713955551,0.86
19,0.26,3.3846429982302917,3.382614713955551,0.86
20,0.38,3.3853800286336373,3.382614713955551,0.86
21,0.2,3.3866402522308654,3.382614713955551,0.86
22,0.84,3.382614713955551,3.382614713955551,0.86
23,0.56,3.3832165891883945,3.382614713955551,0.86
24,0.74,3.382614713955551,3.382614713955551,0.86
25,0.34,3.386446876777254,3.382614713955551,0.86
26,0.62,3.3826897963708227,3.382614713955551,0.86
27,0.78,3.382614713955551,3.382614713955551,0.86
28,0.66,3.382614713955551,3.382614713955551,0.86
29,0.72,3.382614713955551,3.382614713955551,0.86
30,0.58,3.3830046020454425,3.382614713955551,0.86
