eval_id,P1,P2,value,global_best_value,global_best_P1,global_best_P2
1,0.3,4.6,2.4637977798705224,2.4637977798705224,0.3,4.6
2,0.82,5.0,3.3681827553033368,2.4637977798705224,0.3,4.6
3,0.64,4.4,2.6466181521514436,2.4637977798705224,0.3,4.6
4,0.36,4.2,2.4637977798705224,2.4637977798705224,0.3,4.6
5,0.52,3.6,2.572019508048224,2.4637977798705224,0.3,4.6
6,0.18,4.6,2.4637977798705224,2.4637977798705224,0.3,4.6
7,0.32,3.4,2.4637977798705224,2.4637977798705224,0.3,4.6
8,0.34,3.6,2.4637977798705224,2.4637977798705224,0.3,4.6
9,0.58,2.8,2.545808314744246,2.4637977798705224,0.3,4.6
10,0.42,4.6,2.4637977798705224,2.4637977798705224,0.3,4.6
11,0.14,4.0,2.4637977798705224,2.4637977798705224,0.3,4.6
12,0.62,2.0,2.582540257338354,2.4637977798705224,0.3,4.6
13,0.78,3.4,3.180826519825289,2.4637977798705224,0.3,4.6
14,0.48,4.6,2.4637977798705224,2.4637977798705224,0.3,4.6
15,0.48,1.0,38.99262825088499,2.4637977798705224,0.3,4.6
16,0.76,3.2,3.0965872698461316,2.4637977798705224,0.3,4.6
17,0.72,4.6,2.901765718249592,2.4637977798705224,0.3,4.6
18,0.6,2.4,2.5724128843494345,2.4637977798705224,0.3,4.6
19,0.56,3.6,2.5506982176876107,2.4637977798705224,0.3,4.6
20,0.3,3.0,2.4637977798705224,2.4637977798705224,0.3,4.6
21,0.1,2.2,2.9770773017895653,2.4637977798705224,0.3,4.6
22,0.9,2.2,4.4238339405948555,2.4637977798705224,0.3,4.6
23,0.1,5.0,2.9770773017895653,2.4637977798705224,0.3,4.6
24,0.1,2.6,2.9770773017895653,2.4637977798705224,0.3,4.6
25,0.42,2.2,2.4637977798705224,2.4637977798705224,0.3,4.6
26,0.34,2.0,2.4637977798705224,2.4637977798705224,0.3,4.6
27,0.56,4.0,2.5506982176876107,2.4637977798705224,0.3,4.6
28,0.44,2.6,2.4637977798705224,2.4637977798705224,0.3,4.6
29,0.18,4.4,2.4637977798705224,2.4637977798705224,0.3,4.6
30,0.4,2.4,2.4637977798705224,2.4637977798705224,0.3,4.6
