P,n,regular,fat,jump,density,Paper,Time opt,Makespan,Model
1,128,600,0.881356,0.15646,7.0,0.475287,239251.58519229185,75820.74580354452,3.1554897364397485,Amdahl
2,8192,600,0.213757,0.398377,10.0,0.804771,323552.16840322764,95191.94933328367,3.39894466569242,Amdahl
3,4096,300,0.443562,0.629253,1.0,0.240215,113469.23812573843,40313.60651285321,2.8146635327593668,Amdahl
4,256,400,0.721554,0.396461,1.0,0.80426,460553.2653759994,146447.40480211188,3.1448373291307234,Amdahl
5,256,400,0.797786,0.585814,10.0,0.103218,96743.74394700823,36336.736039223775,2.6624225093464085,Amdahl
6,1024,900,0.16733,0.639422,10.0,0.553734,214231.26699081942,57744.80180401369,3.7099662705211465,Amdahl
7,512,200,0.206931,0.791687,9.0,0.801859,86140.63282733627,26151.48308942982,3.2939100445187943,Amdahl
8,512,100,0.181805,0.767861,7.0,0.666244,53261.438240502495,18482.89406210522,2.8816611760872672,Amdahl
9,512,400,0.254377,0.327431,3.0,0.644195,293961.2619561693,91223.5263293665,3.222428180366646,Amdahl
10,512,100,0.769874,0.842625,7.0,0.853006,74571.49581152535,25937.59025126946,2.8750356177700667,Amdahl
