P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
55,128,400,66,0.277529,0.465338,10.0,0.361489,210223.5459156498,60374.568463500866,3.481988381295667,Amdahl
56,512,100,57,0.773757,0.558521,9.0,0.472199,95954.12452130683,28867.936236243444,3.323899697437923,Amdahl
57,8192,300,67,0.593592,0.272399,5.0,0.6807,274293.7128858061,70498.40280997702,3.8907791092110773,Amdahl
58,4096,800,87,0.759213,0.430835,5.0,0.751711,467221.9863995289,150308.73037763743,3.108415494067942,Amdahl
59,1024,800,34,0.613512,0.287316,6.0,0.205666,283896.88463835424,55694.56199028251,5.097389664145093,Amdahl
60,128,200,70,0.413382,0.599422,3.0,0.517703,120344.0798997136,44436.25183454351,2.7082410178925453,Amdahl
61,8192,700,43,0.506619,0.290083,7.0,0.498927,393902.4842634163,98802.02232093838,3.986785644770547,Amdahl
62,8192,200,82,0.668572,0.457403,7.0,0.2616,86465.23241686678,34667.152980136394,2.494154407961037,Amdahl
63,1024,200,52,0.366465,0.552069,5.0,0.56244,95085.96303060588,30190.486895646347,3.1495339362783796,Amdahl
64,512,200,91,0.863484,0.245115,7.0,0.256471,97755.3227472505,34266.15789303075,2.8528241494834337,Amdahl
65,1024,500,48,0.273445,0.855023,3.0,0.357455,111443.9159456841,38949.34206843056,2.8612528486331543,Amdahl
66,256,500,66,0.649432,0.723637,6.0,0.240238,132947.57357301842,35425.175339404035,3.75291222412493,Amdahl
67,2048,100,89,0.430902,0.107302,3.0,0.825334,124793.445509098,44519.75175141699,2.8031029060067936,Amdahl
68,4096,300,79,0.404985,0.191272,6.0,0.600165,205042.03214638765,64610.29618150784,3.173519458421441,Amdahl
69,8192,700,81,0.865154,0.543164,2.0,0.152786,308057.9707124491,116555.24523591898,2.643021084884771,Amdahl
70,512,600,10,0.770175,0.560932,6.0,0.477471,349188.17152607936,100882.28136503312,3.461342931595436,Amdahl
71,256,300,11,0.144749,0.21835,8.0,0.625963,139837.31826862716,42533.040330698066,3.287733893024809,Amdahl
72,1024,900,72,0.816699,0.891594,7.0,0.412868,96927.45479892642,33937.80581872728,2.8560318635991697,Amdahl
73,512,500,8,0.753593,0.823164,5.0,0.346657,99439.17034616951,30835.494231075303,3.2248281672085866,Amdahl
74,2048,300,56,0.443562,0.629253,1.0,0.240215,108388.21810568005,40406.14336430153,2.682468780265727,Amdahl
75,512,700,74,0.324086,0.508721,3.0,0.80494,349094.8516438003,100361.7556095467,3.478365334719129,Amdahl
76,256,600,49,0.247127,0.32032,7.0,0.237052,141838.2688208888,32490.927943219252,4.365473004303343,Amdahl
77,1024,1000,56,0.66855,0.855126,8.0,0.465335,103855.3129463613,38617.14510172746,2.6893576071659306,Amdahl
78,128,200,21,0.898587,0.167287,1.0,0.177836,289414.21907906735,105517.37021485844,2.74281114559386,Amdahl
79,8192,900,28,0.384945,0.566966,10.0,0.577573,190095.82288716876,61987.02171762145,3.066703603750154,Amdahl
80,512,1000,76,0.100781,0.684158,2.0,0.294628,223615.77797076388,82814.68622062249,2.7001947139549647,Amdahl
81,8192,900,9,0.16733,0.639422,10.0,0.553734,198224.2518075289,57525.961089467615,3.4458225130604836,Amdahl
82,2048,200,77,0.406022,0.478461,3.0,0.397584,128376.8192346822,47338.82155649158,2.71187188471695,Amdahl
83,8192,1000,84,0.637089,0.821346,9.0,0.316851,100689.77380416293,39649.89963564164,2.5394710889419763,Amdahl
84,1024,600,11,0.845114,0.635967,2.0,0.127899,148425.88448868404,54414.628752422264,2.727683490481902,Amdahl
85,1024,500,68,0.561295,0.346421,1.0,0.244844,312655.6166763216,113400.55311449726,2.7570907556389277,Amdahl
86,256,700,41,0.724393,0.109709,6.0,0.825871,530247.8181779227,129808.7857866373,4.0848376707681,Amdahl
87,512,500,23,0.751468,0.820332,7.0,0.432396,82588.26296929004,32862.617385172314,2.513137100471919,Amdahl
88,4096,500,43,0.741385,0.816935,1.0,0.424356,139169.79927248412,50355.693997050716,2.763735105718832,Amdahl
89,1024,400,75,0.345105,0.130823,1.0,0.425734,622782.3797060186,219529.418663486,2.836897138878112,Amdahl
90,2048,400,60,0.626911,0.411008,5.0,0.21605,97564.23706235872,30506.517348915288,3.1981440538255272,Amdahl
91,4096,200,14,0.519277,0.703969,4.0,0.221614,76404.52246260039,29546.747040894046,2.585886099639092,Amdahl
92,128,800,5,0.195699,0.78373,4.0,0.299127,158898.5122323778,84426.00544789649,1.8821038777020196,Amdahl
93,4096,400,29,0.767607,0.842156,5.0,0.359853,133207.16342827416,47507.54162775273,2.8039161544502615,Amdahl
94,256,400,94,0.788038,0.172852,3.0,0.585806,370084.1052338402,134023.2098026249,2.7613433955123194,Amdahl
95,1024,100,82,0.706248,0.373687,6.0,0.690721,42289.2022662691,15284.320031077927,2.766835696994147,Amdahl
96,8192,400,26,0.439094,0.227314,4.0,0.2362,240407.11957442132,89105.0547705121,2.69801887439028,Amdahl
97,128,100,78,0.440845,0.226428,9.0,0.831527,118561.99635308585,39067.32261015267,3.034812432277466,Amdahl
98,2048,600,47,0.881356,0.15646,7.0,0.475287,193776.7191770716,68512.52928853522,2.8283398845340524,Amdahl
99,2048,1000,38,0.631054,0.415076,3.0,0.831808,619493.2907345915,219574.8072091269,2.82133136587284,Amdahl
100,4096,800,30,0.71568,0.506146,8.0,0.308233,197261.71063873338,58067.66517870202,3.3971007794383437,Amdahl
101,128,300,99,0.605718,0.676056,6.0,0.285135,97578.64519904177,35017.52520551622,2.786566001633675,Amdahl
102,256,300,1,0.798583,0.47718,7.0,0.485837,107331.2961608898,37117.846473465084,2.8916358667957507,Amdahl
103,8192,200,73,0.211051,0.283267,10.0,0.696614,90534.64208015098,20639.763560453608,4.386418566035224,Amdahl
104,128,600,61,0.788197,0.176221,7.0,0.780394,483879.8117073094,96857.26577222066,4.995802925567299,Amdahl
105,8192,600,54,0.577908,0.247989,10.0,0.167351,156012.9527712048,56207.864567023724,2.7756427676623594,Amdahl
106,8192,800,58,0.766024,0.833216,2.0,0.844884,141253.12504049044,52817.306724498216,2.674371977679299,Amdahl
107,1024,500,17,0.25781,0.330995,10.0,0.74025,316726.72871621477,86515.89874078294,3.6609078022200814,Amdahl
108,128,700,69,0.218954,0.8015,6.0,0.699292,173265.19697280286,79369.73494939606,2.183013425498673,Amdahl
109,4096,300,74,0.520132,0.200871,9.0,0.204427,81095.89604030439,28207.18074576319,2.8750089124906695,Amdahl
110,128,500,44,0.524843,0.312441,9.0,0.211628,136067.32846492427,62351.7675658362,2.1822529460973668,Amdahl
111,2048,400,49,0.367808,0.551241,2.0,0.447351,257424.3608498803,97355.7121730841,2.644162885812162,Amdahl
112,4096,1000,69,0.339533,0.528849,9.0,0.419937,237562.19717295305,61676.67967260102,3.851734536197587,Amdahl
113,128,1000,37,0.69814,0.787848,3.0,0.798775,200117.54997977123,127328.18363232157,1.5716673580897016,Amdahl
114,4096,200,96,0.206086,0.277858,4.0,0.596968,177371.63155215155,60358.33734597761,2.9386434310714478,Amdahl
115,1024,200,74,0.585612,0.255356,2.0,0.266588,89337.06312804364,33967.027604387025,2.6301112999509346,Amdahl
