P,n,Paper,Min Time,Time opt,mtpa
2700,100,92981.7241186309,121431.89532589202,75147.1955092299,1.2373279333785714
600,100,364442.83366233227,373930.63862701686,338162.37979153456,1.077715486527504
2700,100,110649.58615642878,155866.2843022074,82989.09935373723,1.3333026508070656
600,100,370531.67067086365,406734.9670147804,330186.4889200974,1.1221890752789994
2700,100,91608.59556343323,160744.0360853627,75365.32892140141,1.2155270450550537
2900,300,246074.46351369203,378540.0519198167,216613.6320170604,1.136006359444226
600,100,378664.47214570025,409288.5815777379,339143.98014630633,1.116530129717605
1800,300,375840.16342980467,507381.028697033,348988.6293608195,1.0769409998204365
2700,100,102837.29313509283,148504.54013585512,75391.55535351361,1.3640425993718421
600,100,386882.1425729682,417444.3118647554,339261.99909081124,1.1403639181805634
2700,100,90932.1083758913,123352.11924460437,77342.16271108635,1.1757119944469427
600,100,389534.31869378226,369742.41650614614,348039.73219988856,1.1192237053844825
3600,400,247366.1552537365,376597.935297203,219591.4885800396,1.126483348026366
1700,600,759123.5615519019,1021366.2076591293,715369.979261151,1.0611621728045402
2700,100,106179.30012704224,131668.19966435255,68324.87689276955,1.5540357327490277
1800,300,356667.87375156983,504009.50858839526,331355.48252626107,1.076390440358272
600,100,349849.21059145685,347088.9063300925,307461.94601746293,1.1378618236273912
2900,300,240964.7741733709,384354.9192397247,205668.92018871376,1.171614913679087
4200,500,306626.38771043136,372259.01604749233,243212.34847924564,1.2607352777426806
2700,100,125281.61288589405,168778.94796277862,96621.71431835281,1.296619644659911
600,100,382151.1205781711,401487.3408533254,339451.91499596345,1.125788671961728
3100,300,245260.24290885543,328966.58039490256,202638.55898370166,1.2103335324674405
2700,100,89395.54301297454,120436.52025932058,73656.32035633399,1.2136846177014742
4200,600,340720.5013808708,397655.5878271115,289554.5154152278,1.1767058817655454
600,100,374117.9273991705,349162.47519597894,331453.44160350296,1.1287193929538508
1800,300,380777.9274252666,551529.3800781093,351156.99303732155,1.0843523978598282
1400,800,1236232.0960747134,1561463.0634725618,1166894.3127680426,1.0594207911958982
2700,100,90359.93687389763,130570.0595959033,69885.47247663878,1.292971681691113
600,100,364431.3504643439,363984.65051751223,314484.62614487455,1.1588208776109146
2900,300,246335.7571990316,415741.5957023441,217959.51291971683,1.130190437201825
2700,100,111874.57255627679,187646.35672680353,101002.65383885024,1.1076399312712386
3600,400,248598.46834226485,371983.3223221782,211467.41085585929,1.1755876110466728
600,100,382294.10854887665,431103.5543606141,355474.57407820434,1.075447124566417
3900,700,432513.19009906345,612903.5395220543,365446.52556977374,1.183519776045825
1800,300,373050.3584453567,485627.8308735436,330671.0600400051,1.1281614980162598
500,700,2907485.340837108,3074866.7257437925,2850482.8994442355,1.0199974682900173
1700,600,772431.6288156381,1113429.880580117,719496.5620494854,1.073572369290226
3100,300,237614.47952554683,362404.2339354547,192399.95759589353,1.2350027645256525
2900,300,250304.95164767207,393741.6199417228,205244.10623172726,1.2195475730984922
2400,600,543819.6596278574,771354.0540613368,506720.40197664866,1.073214454177273
400,500,2610014.767637701,2717929.315307547,2553729.6590320794,1.0220403551356938
1800,300,365970.18585575523,522412.68367411895,336285.62398495025,1.0882718729366005
4200,500,323048.31500735483,347983.36993448285,237738.69858138147,1.3588377362836896
3600,400,255667.57709257148,352873.70770955965,219660.97023143456,1.1639190012827514
4200,600,352214.9816440654,420556.1352354574,291224.7989247917,1.2094264737908682
2900,300,238855.49899509773,382063.0923490916,208729.00799065878,1.1443330339872415
1800,300,345880.0585505612,468030.1778693564,303581.0214887084,1.1393336014696365
1700,600,750309.8590133003,1094130.2839489179,681233.8297364947,1.1013984130875072
5000,1000,486029.5120948308,535803.4435245956,409384.9153516244,1.18721890785198
1400,800,1233690.2918512037,1572255.8255964427,1173317.625055131,1.051454666244561
1800,300,362737.88236910664,473089.3604170034,332596.22538073803,1.0906253730145736
3100,300,228215.6878198901,336976.5910981188,203897.60886038028,1.1192661311499819
400,500,2543391.3735700957,2623788.9003742333,2496256.3351045055,1.0188822909741828
2900,300,229564.9264556351,346533.4724137134,188429.59954471554,1.218306078292959
