eval_id,P1,value,global_best_value,global_best_P1
1,0.54,3.3833286375217626,3.3833286375217626,0.54
2,0.5,3.3838560681297074,3.3833286375217626,0.54
3,0.9,4.787281913003897,3.3833286375217626,0.54
4,0.86,4.146626138312071,3.3833286375217626,0.54
5,0.66,3.382614713955551,3.382614713955551,0.66
6,0.62,3.382614713955551,3.382614713955551,0.66
7,0.6,3.3827108260371377,3.382614713955551,0.66
8,0.58,3.3828775762987084,3.382614713955551,0.66
9,0.4,3.385485710625517,3.382614713955551,0.66
10,0.3,3.3858646799028134,3.382614713955551,0.66
11,0.38,3.3855956130342477,3.382614713955551,0.66
12,0.7,3.382614713955551,3.382614713955551,0.66
13,0.88,4.330088340776097,3.382614713955551,0.66
14,0.74,3.382614713955551,3.382614713955551,0.66
15,0.78,3.396127971345419,3.382614713955551,0.66
16,0.82,3.680056281680104,3.382614713955551,0.66
17,0.16,3.460209394584211,3.382614713955551,0.66
18,0.18,3.3875157792714794,3.382614713955551,0.66
19,0.44,3.384781118179096,3.382614713955551,0.66
20,0.64,3.382614713955551,3.382614713955551,0.66
21,0.24,3.3850588745554044,3.382614713955551,0.66
22,0.72,3.382614713955551,3.382614713955551,0.66
23,0.26,3.3867637728203124,3.382614713955551,0.66
24,0.22,3.385842096464825,3.382614713955551,0.66
25,0.48,3.3840740329636643,3.382614713955551,0.66
26,0.56,3.383085715691874,3.382614713955551,0.66
27,0.34,3.3867070913114437,3.382614713955551,0.66
28,0.76,3.382614713955551,3.382614713955551,0.66
29,0.52,3.383558695348907,3.382614713955551,0.66
30,0.46,3.3844080423389005,3.382614713955551,0.66
