P,n,Paper,Min Time,Time opt,mtpa
2000,200,237070.80199220087,266935.7424189803,201836.56152433166,1.174568176358978
2000,200,252981.66997570312,341537.1529907591,214724.98832849332,1.1781659505259048
500,300,1445374.64001872,1354068.4111351701,1256359.0656989503,1.1504470970761966
1200,300,612302.7238564478,679973.5360400075,523482.94404122926,1.1696708189373657
2600,200,183956.79291282146,214028.77277552595,155258.89348025512,1.1848390052851687
4400,200,112778.89959760912,126318.09527337058,91743.89160196893,1.229279656970522
500,300,1414646.1906376027,1273992.372002084,1192879.73709454,1.1859084756383007
2000,200,250620.80149438273,355743.3403889947,203089.54220536858,1.2340409002495536
2800,400,330384.5587990762,503328.2911905251,282331.9138886223,1.1701991257333035
500,300,1465270.598738108,1359642.616200481,1264165.1749343576,1.1590816040429155
1200,300,595318.4505626259,637834.4705529173,497033.22378939163,1.197743776610959
2600,200,222777.05715957645,271307.8983725201,165173.06794499487,1.3487492841978608
2100,500,549847.767787483,761594.4868175176,486424.69695849135,1.1303862061806533
4400,200,153189.4311721992,165564.18906867865,115155.9162563489,1.3302784273035855
1200,300,635320.3595776916,675084.9542606407,526735.4895559824,1.2061468653142056
500,300,1388819.2474890861,1309768.0760440386,1190415.8161440182,1.1666673347702436
4400,500,309396.75465738703,339229.76076136535,232157.24173018904,1.332703439925277
1900,700,841841.0065051639,1127589.4948443528,750127.0788011146,1.1222645206337978
500,300,1403277.5899368748,1322524.1930444501,1210628.2463458208,1.1591317104755732
4400,200,167528.8497864975,181344.71923079639,137320.72161632078,1.2199822999370726
2600,200,220873.84886329423,316319.5580405418,156222.72477336045,1.4138394345875491
1200,300,582633.3570670405,669749.3465443776,496006.5900600076,1.174648419482799
100,1000,22046087.81533255,20469245.76758118,20469245.76758122,1.0770346922234282
2800,400,313277.25149103877,497213.7022878562,271886.6711003905,1.1522346800714087
200,900,9944732.023857003,9047423.906899324,9003153.143231973,1.1045832349672795
500,300,1260484.0034540563,1182916.827518287,1092891.6773593503,1.1533476094352217
2000,200,261086.19495111002,404389.7848424511,205435.18723653464,1.2708932606102175
2400,700,669153.2994892771,977340.265856259,593850.6040508824,1.1268041068321328
2600,200,208269.26899590535,367976.3398055532,158027.06710502662,1.317934154011016
4400,200,178496.38626520254,174794.97843708753,153927.2635835206,1.1596151462041082
2000,200,237970.52309292534,348027.43766932975,177867.76952878715,1.3379069390894387
3500,700,478792.1459919342,731914.1231339428,407211.8427777479,1.175781486918233
1200,300,589540.3649185181,682188.367657794,504428.43597742537,1.1687294428121846
500,300,1385438.1572230519,1285731.4719957463,1197346.411370657,1.1570904995130673
2100,500,551209.907866061,730866.9246872502,475477.39716276294,1.1592767840389555
2000,200,247746.18126661822,292013.2818567365,193303.51299842403,1.281643449845829
2300,800,807058.5867116152,1135740.0752092001,710283.4947283737,1.1362485439989707
1000,1000,2332737.8871792452,2497603.132715244,2046924.5767581223,1.1396306017653999
500,300,1367892.046800396,1307975.9424815797,1213162.192799016,1.1275425948152789
2600,200,192316.16886049262,302465.88227305125,136821.3611759901,1.4056004647777245
2000,200,244833.99774829776,278796.8425262232,197442.3411615041,1.2400278294311158
1200,300,533331.795019618,599883.6188174455,455371.5322330626,1.1712014416102208
4400,200,140083.02116838592,141456.34533766707,112828.85828240226,1.2415531212570503
2800,800,694465.7944691895,997281.3035341697,583447.1563840213,1.1902805367554083
2800,400,340760.2227506414,506802.116350978,282421.2474404159,1.2065672318883642
500,300,1412959.9316031516,1284308.858552637,1208982.9228647174,1.1687178576973654
4400,500,284042.8731763026,317706.69772443373,226932.39410040958,1.2516629646564414
2600,200,198081.62689994733,255523.5097114312,148695.00999878772,1.332133653318711
4400,200,134202.70016419957,152620.4758494115,89579.42667687622,1.4981419857517606
1200,300,597250.9999905395,631910.4059958904,498894.33807110705,1.1971492847557907
1900,700,835077.2508973505,1155613.3952564644,744212.3851130747,1.1220953421387496
500,300,1448063.8901725425,1331228.3463447012,1237478.5279977254,1.170172942326159
2600,200,195875.17823882756,226396.39683523268,151878.72397038777,1.2896814847945253
500,100,489187.4096680456,434240.0694961375,405794.8557498415,1.2055042165680205
4400,200,128624.20618229092,126163.48598752603,89746.51870977458,1.433194379363509
100,1000,21146712.89046121,19653548.59259937,19653548.59259939,1.0759742847876377
500,100,496159.8470886731,455093.92968843185,396223.7867041169,1.2522212540944297
1200,300,586406.8840159808,632779.2476556739,505484.24699959,1.1600893351211723
500,100,552707.7584861005,468990.1565433067,406972.77617556765,1.3580951622367559
200,900,10283698.690097077,9337281.17650087,9257755.014246307,1.1108199206256804
2000,200,269166.8606658038,377553.6201093103,216657.9146813661,1.242358771253113
2600,200,209018.63719309444,292868.4978324792,166659.9343702816,1.254162483519891
500,100,522372.275383536,472651.8154977744,407114.3989089735,1.2831093097749484
2800,400,322393.35709594726,503849.2396729696,278835.52028445917,1.1562133718367436
500,100,534517.2935398122,434655.5240897564,417647.6786398663,1.2798282401103
500,100,544955.3961999922,412514.82048351737,368954.33522095555,1.4770266783113821
2100,500,540326.5573882525,705565.6180498005,465218.1297648626,1.1614477657208937
4400,200,150647.43948016607,173961.37052178758,115640.3076979828,1.3027243050374029
500,100,529914.9602187147,475480.4586495946,407342.2979951562,1.300908260268655
2000,200,243708.5325394246,292869.2593612539,200553.5610665102,1.2151792829976367
4400,500,286581.5549789064,329433.16752616287,222035.9255695935,1.2906990354994698
500,100,527240.6527242698,408260.27985861857,397744.12992420356,1.3255774581129427
2400,700,657080.8289623997,992803.7092464276,589168.1382145174,1.1152687770144747
2600,200,190285.82581546454,277504.9885684909,154271.97005116168,1.2334439350995483
2000,200,247316.47370469582,354714.95674885047,212701.42659441868,1.1627400796717808
1200,300,595347.1256324204,636025.5888425217,503742.8845269656,1.1818472159492135
500,100,461040.1129968852,419813.82086211623,377381.55137384945,1.2216816410830857
3500,700,459158.83518030983,699716.042126866,404001.0090613834,1.13652893156647
500,100,524571.0681295925,512902.05907146854,426569.4888938452,1.229743527812735
1000,1000,2273392.286977078,2531111.6417808393,1965354.8592599388,1.1567337451889639
