mu,gamma,average,max
0.1,0.0,1.541443930411671,3.362104238200601
0.1,0.05,1.5206690896306827,3.362104238200601
0.1,0.1,1.5789722908381316,3.366393456779792
0.1,0.15,1.6376824155668979,3.383869636237649
0.1,0.2,1.7007669789141568,3.404116654444134
0.12,0.0,1.5600627317427365,3.2824401913016823
0.12,0.05,1.5097574825235056,2.869143353706562
0.12,0.1,1.5751670774790265,2.8847808221122864
0.12,0.15,1.6346834048969618,2.902285848089614
0.12,0.2,1.6959042861078875,2.979237343425755
0.14,0.0,1.6295600384040305,3.562923446255881
0.14,0.05,1.521672638087574,2.833169275749963
0.14,0.1,1.5801972997772218,2.673100281193756
0.14,0.15,1.6384051927514784,2.7965720774417497
0.14,0.2,1.6968415341839536,2.97783517883383
0.16,0.0,1.7357959330139574,4.149329828772236
0.16,0.05,1.5390085999553016,3.146156496799358
0.16,0.1,1.5895704051816255,2.795976951448057
0.16,0.15,1.6391831309914893,2.795520453997807
0.16,0.2,1.697804949184037,2.976783555389888
0.18,0.0,1.9199662965828372,4.5390393003257925
0.18,0.05,1.5629558752165649,3.2233700615311838
0.18,0.1,1.6015926934337599,2.756326009117497
0.18,0.15,1.6513709066681876,2.8243509770140456
0.18,0.2,1.7031731512301176,2.9759656260445984
0.2,0.0,2.230586583754804,5.80963429576877
0.2,0.05,1.581567024789184,3.3337867311618874
0.2,0.1,1.6081625154661279,2.9384304257765588
0.2,0.15,1.6564029406985403,2.8595294768887225
0.2,0.2,1.709209335675902,3.0441965815999485
0.22,0.0,2.2079709748546703,5.714961286354873
0.22,0.05,1.5969397479707013,3.453311735858864
0.22,0.1,1.6199909463918456,3.0289060446446228
0.22,0.15,1.6668520073143092,2.905935726245251
0.22,0.2,1.7138960976078457,2.974854552025485
0.24,0.0,2.186632119933763,5.647157202023734
0.24,0.05,1.6052435811346786,3.5214464767155054
0.24,0.1,1.6283409416694554,3.124482075098224
0.24,0.15,1.6718411426321989,2.872325367287373
0.24,0.2,1.7196075559928312,2.974460967410034
0.26,0.0,2.7364935704184354,7.704262271130516
0.26,0.05,1.6314238552162836,3.513174045686357
0.26,0.1,1.6402741765015931,3.181777209359314
0.26,0.15,1.6771130648625063,2.925984257499259
0.26,0.2,1.725141143973979,2.9741354862982767
0.28,0.0,2.7151437039083595,7.46118266696277
0.28,0.05,1.6387545963571906,3.676417999195325
0.28,0.1,1.6510385197232103,3.239521241910894
0.28,0.15,1.685350370725501,2.9393080653018004
0.28,0.2,1.7298355799001326,3.0113570999453128
0.3,0.0,2.6956764496539476,7.457837528136112
0.3,0.05,1.6591161470639073,3.795873780637208
0.3,0.1,1.6597455620604187,3.204221160819246
0.3,0.15,1.6889967581098873,2.9640500041859035
0.3,0.2,1.741698131519,2.9877282758232573
