i,Paper,Min Time,Time opt
1,6250131,8732862,2731507.445667894
2,6191527,9308307,2718915.698283106
3,6209228,8887051,2723001.5669795102
4,7115050,10542539,3142669.1079426724
5,6045084,9383096,2679601.8410390792
6,6559654,8332544,2895423.382710828
7,6422350,9560579,2807507.3294283
8,6982278,10477204,3097935.8836667743
9,6339945,9458910,2789715.535468213
10,7135168,10706024,3212905.019722738
