mu,gamma,average,max
0.1,0.0,1.219436788228552,2.9770773017895653
0.1,0.05,1.2174353977567358,2.9774996104925893
0.1,0.1,1.2212812099146262,2.9794460814305257
0.12,0.0,1.2081359650842725,2.568239690677216
0.12,0.05,1.205456338254818,2.568982619240568
0.12,0.1,1.2101025663487524,2.571969328051876
0.14,0.0,1.2060412620598404,2.4637977798705224
0.14,0.05,1.2053041782639697,2.472530615315896
0.14,0.1,1.20713995619975,2.49030073797174
0.16,0.0,1.2097731063825194,2.4637977798705224
0.16,0.05,1.2034037484437035,2.472530615315896
0.16,0.1,1.2059697052657605,2.49030073797174
0.18,0.0,1.2133006833679725,2.4637977798705224
0.18,0.05,1.2077661099774917,2.472530615315896
0.18,0.1,1.2078367132569805,2.49030073797174
0.2,0.0,1.218166298015818,2.4637977798705224
0.2,0.05,1.2109983290629995,2.472530615315896
0.2,0.1,1.2097595520394007,2.49030073797174
0.22,0.0,1.2179909066929175,2.4637977798705224
0.22,0.05,1.2130773050301182,2.472530615315896
0.22,0.1,1.2132599555971397,2.49030073797174
0.24,0.0,1.2222574556134407,2.4637977798705224
0.24,0.05,1.2158707791473822,2.472530615315896
0.24,0.1,1.215752025766324,2.49030073797174
0.26,0.0,1.2293006981767893,2.4637977798705224
0.26,0.05,1.2225440416399065,2.472530615315896
0.26,0.1,1.2199780696512954,2.49030073797174
0.28,0.0,1.2328465809993812,2.4637977798705224
0.28,0.05,1.2250449664886327,2.472530615315896
0.28,0.1,1.222817163757829,2.49030073797174
0.3,0.0,1.2395195106635557,2.4637977798705224
0.3,0.05,1.22914262403866,2.472530615315896
0.3,0.1,1.2285687448138283,2.49030073797174
0.32,0.0,1.243033963552129,2.4637977798705224
0.32,0.05,1.2312722909664429,2.472530615315896
0.32,0.1,1.231786571070556,2.49030073797174
0.34,0.0,1.253841424090371,2.4637977798705224
0.34,0.05,1.2423850593225547,2.472530615315896
0.34,0.1,1.2385462250058403,2.49030073797174
0.36,0.0,1.257882116154286,2.4637977798705224
0.36,0.05,1.2448452455064425,2.472530615315896
0.36,0.1,1.2419685168204349,2.49030073797174
0.38,0.0,1.2596293611419929,2.4637977798705224
0.38,0.05,1.2495153149438971,2.472530615315896
0.38,0.1,1.2455368298402953,2.49030073797174
0.4,0.0,1.2652499425083834,2.4637977798705224
0.4,0.05,1.252845109670408,2.472530615315896
0.4,0.1,1.2489793195369778,2.49030073797174
0.42,0.0,1.2737250123426436,2.4637977798705224
0.42,0.05,1.259685465352305,2.472530615315896
0.42,0.1,1.2531103778221322,2.49030073797174
0.44,0.0,1.278559799323558,2.4637977798705224
0.44,0.05,1.265729788226874,2.472530615315896
0.44,0.1,1.2582810419322685,2.49030073797174
0.46,0.0,1.28775507489108,2.4924234770266693
0.46,0.05,1.2725617277357577,2.472530615315896
0.46,0.1,1.2665147754656667,2.49030073797174
0.48,0.0,1.2933231992396366,2.5293203013262286
0.48,0.05,1.2774203906244033,2.472530615315896
0.48,0.1,1.269789977736203,2.49030073797174
0.5,0.0,1.3117785880830637,2.5373184244443574
0.5,0.05,1.2933199167186002,2.472530615315896
0.5,0.1,1.2860616898999442,2.49030073797174
