eval_id,P1,value,global_best_value,global_best_P1
1,0.56,3.382614713955551,3.382614713955551,0.56
2,0.1,3.382614713955551,3.382614713955551,0.56
3,0.5,3.382614713955551,3.382614713955551,0.56
4,0.26,3.382614713955551,3.382614713955551,0.56
5,0.72,3.382614713955551,3.382614713955551,0.56
6,0.52,3.382614713955551,3.382614713955551,0.56
7,0.54,3.382614713955551,3.382614713955551,0.56
8,0.6,3.382614713955551,3.382614713955551,0.56
9,0.78,3.382614713955551,3.382614713955551,0.56
10,0.42,3.382614713955551,3.382614713955551,0.56
11,0.7,3.382614713955551,3.382614713955551,0.56
12,0.8,3.382614713955551,3.382614713955551,0.56
13,0.34,3.382614713955551,3.382614713955551,0.56
14,0.48,3.382614713955551,3.382614713955551,0.56
15,0.44,3.382614713955551,3.382614713955551,0.56
16,0.4,3.382614713955551,3.382614713955551,0.56
17,0.9,3.3956400623658176,3.382614713955551,0.56
18,0.16,3.382614713955551,3.382614713955551,0.56
19,0.22,3.382614713955551,3.382614713955551,0.56
20,0.66,3.382614713955551,3.382614713955551,0.56
21,0.3,3.382614713955551,3.382614713955551,0.56
22,0.12,3.382614713955551,3.382614713955551,0.56
23,0.64,3.382614713955551,3.382614713955551,0.56
24,0.2,3.382614713955551,3.382614713955551,0.56
25,0.36,3.382614713955551,3.382614713955551,0.56
26,0.28,3.382614713955551,3.382614713955551,0.56
27,0.14,3.382614713955551,3.382614713955551,0.56
28,0.58,3.382614713955551,3.382614713955551,0.56
29,0.32,3.382614713955551,3.382614713955551,0.56
30,0.18,3.382614713955551,3.382614713955551,0.56
