mu,Paper,Min Time,Time opt
0.02,49409024,6445432,2530387.6966619184
0.02,45967916,6936345,2833546.0159696555
0.02,43124940,7061524,2640271.093031301
0.02,48862459,7850312,3354861.39268329
0.02,52420956,7577832,2888507.7741282145
0.02,47165228,6953694,3327395.5774612105
0.02,49224461,8118290,2953893.9975096094
0.02,52455391,8505629,3076084.667716298
0.02,49273339,6934906,3195223.281512647
0.02,53981788,8205414,3643897.7936968915
0.02,55363345,8325857,3288467.0555668334
0.02,55688644,8111920,3437401.5475101783
0.02,47841768,7012450,2658192.0466264766
0.02,48354153,7877723,2864360.2615199517
0.02,46471943,7000298,2840260.459851173
0.02,49820956,7157408,3197049.450735302
0.02,53893335,8197901,3429092.271985058
0.02,55058168,8195493,3418069.1244566618
0.02,50502989,6882688,2688118.010895679
0.02,49338005,8476581,3567757.22441211
0.02,51283566,6842036,2967594.727706387
0.02,50585029,8171395,3215244.6995527553
0.02,52829364,9035564,3431089.872701989
0.02,50152406,7090705,3053971.7112605283
0.02,51718208,6992276,3302794.362042187
0.02,43183765,7211745,2775769.6088759624
0.02,51485169,8040636,3052855.2485501207
0.02,53581250,8175700,3607054.578836198
0.02,56837796,7438075,3232363.7228530794
0.02,43658535,7025053,2806757.8224841706
0.04,39180438,6445432,2530387.6966619184
0.04,39366526,6936345,2833546.0159696555
0.04,35764708,7061524,2640271.093031301
0.04,41684406,7850312,3354861.39268329
0.04,44018309,7577832,2888507.7741282145
0.04,43904104,6953694,3327395.5774612105
0.04,43644136,8118290,2953893.9975096094
0.04,47113172,8505629,3076084.667716298
0.04,44033888,6934906,3195223.281512647
0.04,47928310,8205414,3643897.7936968915
0.04,48185088,8325857,3288467.0555668334
0.04,47251376,8111920,3437401.5475101783
0.04,40175212,7012450,2658192.0466264766
0.04,40301302,7877723,2864360.2615199517
0.04,40080502,7000298,2840260.459851173
0.04,44315442,7157408,3197049.450735302
0.04,48129227,8197901,3429092.271985058
0.04,50191371,8195493,3418069.1244566618
0.04,39311355,6882688,2688118.010895679
0.04,43932385,8476581,3567757.22441211
0.04,44009489,6842036,2967594.727706387
0.04,46315488,8171395,3215244.6995527553
0.04,47306029,9035564,3431089.872701989
0.04,43838621,7090705,3053971.7112605283
0.04,44546083,6992276,3302794.362042187
0.04,38548265,7211745,2775769.6088759624
0.04,45643584,8040636,3052855.2485501207
0.04,48066994,8175700,3607054.578836198
0.04,48231474,7438075,3232363.7228530794
0.04,37643708,7025053,2806757.8224841706
0.06,30317047,6445432,2530387.6966619184
0.06,33647675,6936345,2833546.0159696555
0.06,30396635,7061524,2640271.093031301
0.06,38693694,7850312,3354861.39268329
0.06,32118605,7577832,2888507.7741282145
0.06,38756310,6953694,3327395.5774612105
0.06,35680941,8118290,2953893.9975096094
0.06,39352547,8505629,3076084.667716298
0.06,36962378,6934906,3195223.281512647
0.06,41975320,8205414,3643897.7936968915
0.06,39317063,8325857,3288467.0555668334
0.06,42215044,8111920,3437401.5475101783
0.06,31382702,7012450,2658192.0466264766
0.06,35403817,7877723,2864360.2615199517
0.06,31483898,7000298,2840260.459851173
0.06,39400555,7157408,3197049.450735302
0.06,40062653,8197901,3429092.271985058
0.06,39419905,8195493,3418069.1244566618
0.06,31862087,6882688,2688118.010895679
0.06,40646886,8476581,3567757.22441211
0.06,35524922,6842036,2967594.727706387
0.06,36516894,8171395,3215244.6995527553
0.06,40596356,9035564,3431089.872701989
0.06,36188991,7090705,3053971.7112605283
0.06,37457134,6992276,3302794.362042187
0.06,31172601,7211745,2775769.6088759624
0.06,37695132,8040636,3052855.2485501207
0.06,43091491,8175700,3607054.578836198
0.06,38564801,7438075,3232363.7228530794
0.06,31644502,7025053,2806757.8224841706
0.08,23846881,6445432,2530387.6966619184
0.08,24845788,6936345,2833546.0159696555
0.08,26522485,7061524,2640271.093031301
0.08,33802840,7850312,3354861.39268329
0.08,28549929,7577832,2888507.7741282145
0.08,30063938,6953694,3327395.5774612105
0.08,27240917,8118290,2953893.9975096094
0.08,26337826,8505629,3076084.667716298
0.08,28498224,6934906,3195223.281512647
0.08,33807382,8205414,3643897.7936968915
0.08,29319966,8325857,3288467.0555668334
0.08,30923728,8111920,3437401.5475101783
0.08,25969614,7012450,2658192.0466264766
0.08,24577060,7877723,2864360.2615199517
0.08,26364300,7000298,2840260.459851173
0.08,28170229,7157408,3197049.450735302
0.08,31229016,8197901,3429092.271985058
0.08,29601001,8195493,3418069.1244566618
0.08,25865951,6882688,2688118.010895679
0.08,36376923,8476581,3567757.22441211
0.08,27771263,6842036,2967594.727706387
0.08,31025355,8171395,3215244.6995527553
0.08,32716631,9035564,3431089.872701989
0.08,28328582,7090705,3053971.7112605283
0.08,29327744,6992276,3302794.362042187
0.08,26232456,7211745,2775769.6088759624
0.08,26763100,8040636,3052855.2485501207
0.08,30845347,8175700,3607054.578836198
0.08,30518551,7438075,3232363.7228530794
0.08,27686701,7025053,2806757.8224841706
0.1,17550630,6445432,2530387.6966619184
0.1,19256809,6936345,2833546.0159696555
0.1,18134123,7061524,2640271.093031301
0.1,21083014,7850312,3354861.39268329
0.1,19916936,7577832,2888507.7741282145
0.1,22796563,6953694,3327395.5774612105
0.1,20525313,8118290,2953893.9975096094
0.1,21877508,8505629,3076084.667716298
0.1,21703490,6934906,3195223.281512647
0.1,23849655,8205414,3643897.7936968915
0.1,22679657,8325857,3288467.0555668334
0.1,23200178,8111920,3437401.5475101783
0.1,18782575,7012450,2658192.0466264766
0.1,20459485,7877723,2864360.2615199517
0.1,18897968,7000298,2840260.459851173
0.1,21901520,7157408,3197049.450735302
0.1,23645790,8197901,3429092.271985058
0.1,24319935,8195493,3418069.1244566618
0.1,18448189,6882688,2688118.010895679
0.1,22574238,8476581,3567757.22441211
0.1,20874675,6842036,2967594.727706387
0.1,21948745,8171395,3215244.6995527553
0.1,23057324,9035564,3431089.872701989
0.1,20540003,7090705,3053971.7112605283
0.1,23024042,6992276,3302794.362042187
0.1,18855441,7211745,2775769.6088759624
0.1,21126391,8040636,3052855.2485501207
0.1,24039233,8175700,3607054.578836198
0.1,22430238,7438075,3232363.7228530794
0.1,18647006,7025053,2806757.8224841706
0.12,15480746,6445432,2530387.6966619184
0.12,18093169,6936345,2833546.0159696555
0.12,15830443,7061524,2640271.093031301
0.12,20483842,7850312,3354861.39268329
0.12,17668763,7577832,2888507.7741282145
0.12,20354719,6953694,3327395.5774612105
0.12,18088511,8118290,2953893.9975096094
0.12,19944270,8505629,3076084.667716298
0.12,19530826,6934906,3195223.281512647
0.12,22332694,8205414,3643897.7936968915
0.12,20153776,8325857,3288467.0555668334
0.12,21413171,8111920,3437401.5475101783
0.12,17038281,7012450,2658192.0466264766
0.12,17791470,7877723,2864360.2615199517
0.12,17748166,7000298,2840260.459851173
0.12,19722777,7157408,3197049.450735302
0.12,20998716,8197901,3429092.271985058
0.12,21734819,8195493,3418069.1244566618
0.12,16824825,6882688,2688118.010895679
0.12,20992843,8476581,3567757.22441211
0.12,18242692,6842036,2967594.727706387
0.12,19855609,8171395,3215244.6995527553
0.12,20866954,9035564,3431089.872701989
0.12,18619789,7090705,3053971.7112605283
0.12,20227241,6992276,3302794.362042187
0.12,17000289,7211745,2775769.6088759624
