mu,alpha,average,max
0.1,2.0,1.2198276719777081,2.9770773017895653
0.1,2.2,1.2185114751587283,2.9770773017895653
0.1,2.4,1.2194521508946885,2.9770773017895653
0.1,2.6,1.2192296331166985,2.9770773017895653
0.1,2.8,1.216801447240216,2.9770773017895653
0.1,3.0,1.2192273670069953,2.9770773017895653
0.1,3.2,1.2200322589459196,2.9770773017895653
0.1,3.4,1.2172511814734022,2.9770773017895653
0.1,3.6,1.2207066792599157,2.9770773017895653
0.1,3.8,1.2186097947460857,2.9770773017895653
0.1,4.0,1.2195465020311553,2.9770773017895653
0.1,4.2,1.2207253091633263,2.9770773017895653
0.1,4.4,1.2191488512666755,2.9770773017895653
0.1,4.6,1.2193475220675516,2.9770773017895653
0.1,4.8,1.219805230796676,2.9770773017895653
0.1,5.0,1.2198180584016791,2.9770773017895653
0.12,2.0,1.2078541057766456,2.568239690677216
0.12,2.2,1.207330934292691,2.568239690677216
0.12,2.4,1.2079569545916011,2.568239690677216
0.12,2.6,1.2091783406292511,2.568239690677216
0.12,2.8,1.207679874209573,2.568239690677216
0.12,3.0,1.2084669679241506,2.568239690677216
0.12,3.2,1.2082779154557797,2.568239690677216
0.12,3.4,1.2078992345936461,2.568239690677216
0.12,3.6,1.206952548058257,2.568239690677216
0.12,3.8,1.2082607954685163,2.568239690677216
0.12,4.0,1.2074883429527254,2.568239690677216
0.12,4.2,1.2076234771382557,2.568239690677216
0.12,4.4,1.2074863167721492,2.568239690677216
0.12,4.6,1.210072076872259,2.568239690677216
0.12,4.8,1.2079842635648466,2.568239690677216
0.12,5.0,1.208037290655986,2.568239690677216
0.14,2.0,1.207636955129303,2.4637977798705224
0.14,2.2,1.205850749589495,2.4637977798705224
0.14,2.4,1.2073987293001718,2.4637977798705224
0.14,2.6,1.2074030276030976,2.4637977798705224
0.14,2.8,1.2072799504864942,2.4637977798705224
0.14,3.0,1.2073078381239166,2.4637977798705224
0.14,3.2,1.2086499904803927,2.4637977798705224
0.14,3.4,1.2068459569242558,2.4637977798705224
0.14,3.6,1.206419376679892,2.4637977798705224
0.14,3.8,1.2086043144529333,2.4637977798705224
0.14,4.0,1.2064006762229964,2.4637977798705224
0.14,4.2,1.2093908866906846,2.4637977798705224
0.14,4.4,1.2064696301912592,2.4637977798705224
0.14,4.6,1.206631426008838,2.4637977798705224
0.14,4.8,1.2086645767626383,2.4637977798705224
0.14,5.0,1.2078570354609328,2.4637977798705224
0.16,2.0,1.2074145730733439,2.4637977798705224
0.16,2.2,1.206804800282521,2.4637977798705224
0.16,2.4,1.2069522792295975,2.4637977798705224
0.16,2.6,1.2095051188392154,2.4637977798705224
0.16,2.8,1.2078679515073987,2.4637977798705224
0.16,3.0,1.206856334320846,2.4637977798705224
0.16,3.2,1.2068979498438053,2.4637977798705224
0.16,3.4,1.207918632237541,2.4637977798705224
0.16,3.6,1.2074763625716436,2.4637977798705224
0.16,3.8,1.2066619894562927,2.4637977798705224
0.16,4.0,1.2073430408323933,2.4637977798705224
0.16,4.2,1.208210045282636,2.4637977798705224
0.16,4.4,1.2072554974820422,2.4637977798705224
0.16,4.6,1.2084472237408654,2.4637977798705224
0.16,4.8,1.207164450059146,2.4637977798705224
0.16,5.0,1.2084965760706958,2.4637977798705224
0.18,2.0,1.2124039289736408,2.4637977798705224
0.18,2.2,1.2120277749414181,2.4637977798705224
0.18,2.4,1.2135493381539932,2.4637977798705224
0.18,2.6,1.2104536775933257,2.4637977798705224
0.18,2.8,1.2123582635988477,2.4637977798705224
0.18,3.0,1.214142019004507,2.4637977798705224
0.18,3.2,1.2122580259220508,2.4637977798705224
0.18,3.4,1.2121758332595658,2.4637977798705224
0.18,3.6,1.2122562934784682,2.4637977798705224
0.18,3.8,1.2139050273893013,2.4637977798705224
0.18,4.0,1.2121500235912992,2.4637977798705224
0.18,4.2,1.213293596502259,2.4637977798705224
0.18,4.4,1.213331442825008,2.4637977798705224
0.18,4.6,1.2111223384231855,2.4637977798705224
0.18,4.8,1.2106470566310863,2.4637977798705224
0.18,5.0,1.2118378086005017,2.4637977798705224
0.2,2.0,1.2176755031256272,2.4637977798705224
0.2,2.2,1.2175816709873144,2.4637977798705224
0.2,2.4,1.216274333449201,2.4637977798705224
0.2,2.6,1.2160086195256319,2.4637977798705224
0.2,2.8,1.2168137451688568,2.4637977798705224
0.2,3.0,1.2140095524222472,2.4637977798705224
0.2,3.2,1.2177924580885187,2.4637977798705224
0.2,3.4,1.2163583143715218,2.4637977798705224
0.2,3.6,1.2148086369927482,2.4637977798705224
0.2,3.8,1.215760479661972,2.4637977798705224
0.2,4.0,1.2178416828539975,2.4637977798705224
0.2,4.2,1.2146964615449383,2.4637977798705224
0.2,4.4,1.2156649204723535,2.4637977798705224
0.2,4.6,1.217153833897139,2.4637977798705224
0.2,4.8,1.2154084621270687,2.4637977798705224
0.2,5.0,1.2158319630564491,2.4637977798705224
0.22,2.0,1.2191101242144595,2.4637977798705224
0.22,2.2,1.2181626706575341,2.4637977798705224
0.22,2.4,1.2197206531291362,2.4637977798705224
