i,Paper,Min Time,Time opt
0,8272680,6445432,2530387.6966619184
0,9447399,6936345,2833546.0159696555
0,8727357,7061524,2640271.093031301
0,10840597,7850312,3354861.39268329
0,9725867,7577832,2888507.7741282145
0,11031604,6953694,3327395.5774612105
0,9777689,8118290,2953893.9975096094
0,10299085,8505629,3076084.667716298
0,10428703,6934906,3195223.281512647
0,11908950,8205414,3643897.7936968915
0,10862708,8325857,3288467.0555668334
0,11247040,8111920,3437401.5475101783
0,8569437,7012450,2658192.0466264766
0,9435822,7877723,2864360.2615199517
0,9348499,7000298,2840260.459851173
0,10413526,7157408,3197049.450735302
0,11149244,8197901,3429092.271985058
0,11070730,8195493,3418069.1244566618
0,8708032,6882688,2688118.010895679
0,11470776,8476581,3567757.22441211
0,9860375,6842036,2967594.727706387
0,10686078,8171395,3215244.6995527553
0,11113371,9035564,3431089.872701989
0,9931675,7090705,3053971.7112605283
0,10813671,6992276,3302794.362042187
0,9262042,7211745,2775769.6088759624
0,10034582,8040636,3052855.2485501207
0,11572536,8175700,3607054.578836198
0,10660832,7438075,3232363.7228530794
0,9241315,7025053,2806757.8224841706
0,9689706,7679893,2979824.6712742974
0,11465387,7617521,3509971.2313633086
0,11292900,7695003,3473967.4298962327
0,10631087,7663275,3256407.407343582
0,11179116,7887973,3410314.523392459
0,11064218,7044739,3395031.3021008037
0,9291339,6434749,2869145.309357193
0,10438923,6385601,3208321.736845878
0,12174241,8934930,3722565.1844422324
0,9205296,6955327,2785515.5433652876
0,10959452,7465764,3352727.7369754435
0,9443602,7311975,2927873.403456987
0,12186900,8877014,3703870.6331997532
0,10964167,7992512,3348760.8310324945
0,9682505,7440906,2981647.384550992
0,9661118,6904723,2971189.7454892
0,9294136,7900849,2841642.3683610912
0,10572311,8435986,3262120.606785941
0,11719912,8489148,3569217.171778616
0,10750372,9257306,3350373.6310396437
