p,Paper,Min Time,Time opt
500,2467657.339567057,3428342.6005781027,2042983.7272256638
1000,1218533.7105063386,2348417.631108978,1021491.8636128319
1500,837087.637337608,1627630.4619443761,680994.575741888
2000,695414.4075416031,1157419.7111799903,510745.93180641596
2500,655188.5222791189,905439.4099185198,408596.7454451328
3000,639353.8280649753,732529.752077639,340497.287870944
3500,632903.3850412993,618720.717014169,321573.03990320547
4000,631171.7356335034,551630.2385927717,321573.03990320547
4500,631171.7356335034,480108.18904427026,321573.03990320547
5000,631171.7356335034,457742.4459653898,321573.03990320547
500,2467445.8047810216,3333854.410078894,1997005.0680836043
1000,1187347.3248162852,2321698.805192571,998502.5340418022
1500,813962.1746388805,1627659.1193240865,665668.3560278681
2000,672925.8526627612,1162249.3869708884,499251.2670209011
2500,608695.4455907182,896677.6888519058,399401.01361672085
3000,597881.0909035857,736588.3282596421,332834.17801393406
3500,589151.650097773,613906.4673032791,298114.6231300793
4000,588231.8890757397,538140.074937733,298114.6231300793
4500,585318.9301745626,475606.22332725377,298114.6231300793
5000,585318.9301745626,429840.489587293,298114.6231300793
500,2353121.930868172,3258131.99495567,1953916.145012423
1000,1170072.5816235782,2263363.3345972938,976958.0725062115
1500,799616.9658882252,1539813.2303620768,651305.3816708077
2000,660259.0431626032,1089661.7199075061,488479.03625310573
2500,631540.3836940972,865846.3268831323,390783.2290024846
3000,614317.5992725549,695621.2631049436,325652.69083540386
3500,610804.5844297486,585742.2501416947,309596.8020211565
4000,608463.2866048479,514230.314150497,309596.8020211565
4500,608463.2866048479,458933.94347996236,309596.8020211565
5000,608463.2866048479,415392.90755992976,309596.8020211565
500,2542967.453744359,3440775.3505692547,2085551.3070061237
1000,1242145.706256091,2295873.1072461233,1042775.6535030619
1500,865427.5892958445,1640327.3809234328,695183.7690020413
2000,730221.7277908848,1192186.1340868073,521387.8267515309
2500,691448.925950795,921056.8075325831,417110.26140122476
3000,674892.249127758,747894.8516951085,347591.88450102066
3500,667402.4298175187,629064.4320845908,334328.799561022
4000,663872.6661870668,554175.5828352848,334328.799561022
4500,656877.6353406371,494344.0879410902,334328.799561022
5000,656877.6353406371,462430.2595898628,334328.799561022
500,2410911.9326620935,3250887.639873022,1985888.8685753127
1000,1194911.655827906,2273427.3668259135,992944.4342876563
1500,831678.3687599247,1577302.6801865776,661962.9561917708
2000,683957.9630030924,1116684.7058319661,496472.21714382817
2500,617883.5235136977,890474.3597629385,397177.77371506253
3000,624287.6664508148,730135.8481871552,330981.4780958854
3500,599106.046088793,628951.3088443152,304400.9441372635
4000,598257.8043489504,541203.7959680087,304400.9441372635
4500,598942.807594327,479931.6114123979,304400.9441372635
5000,598102.1726230513,454879.5649850748,304400.9441372635
500,2355788.6132279136,3241075.2943996727,1970281.3485280548
1000,1180082.7188577561,2266212.8414830915,985140.6742640274
1500,827329.7095475009,1550005.428172279,656760.4495093515
2000,639038.5523871118,1112650.2208904142,492570.3371320137
2500,594094.9364441613,885467.1213413404,394056.26970561093
3000,559358.8022505967,712048.7860740608,328380.22475467576
3500,556835.7438053585,605863.3900676216,281468.7640754364
4000,556755.6975738574,519298.00213435665,278254.0644819865
4500,546185.5369182354,472993.11475828436,278254.0644819865
5000,546185.5369182354,419726.5890282876,278254.0644819865
500,2457628.547643683,3326471.345212202,2066041.4282661595
1000,1235422.2616968963,2331562.672219745,1033020.7141330797
1500,840720.1680681386,1633425.391637926,688680.4760887198
2000,688401.758927089,1202074.0392958163,516510.3570665399
2500,623616.7587449284,911783.9540117186,413208.2856532319
3000,617066.3887457615,738705.1508605873,344340.2380443599
3500,608798.3158579696,631791.6431745691,308610.0844865572
4000,606346.7454985484,542772.9436213562,308610.0844865572
4500,606346.7454985484,484359.8825385042,308610.0844865572
5000,606346.7454985484,441343.4595314868,308610.0844865572
500,2469532.4154014816,3347733.31946683,2047164.713754969
1000,1206530.6181215176,2328656.2635888727,1023582.3568774845
1500,840430.8578625562,1650702.7693956736,682388.2379183229
2000,693098.3093049488,1200129.7624169218,511791.17843874224
2500,664221.9071170905,931136.8867462899,409432.94275099377
3000,651279.8630020876,762519.6917749088,341194.11895916145
3500,650593.5121580166,640235.6390889772,330690.53879226855
4000,651293.7543834039,559239.7650333131,330690.53879226855
4500,649728.5362376246,488286.80582735897,330690.53879226855
5000,649728.5362376246,462368.31577079144,330690.53879226855
500,2382811.486993618,3284801.374032013,1963394.349081565
1000,1221792.0270951327,2286062.6077853325,981697.1745407825
1500,854903.4506155291,1539829.5723789616,654464.7830271883
2000,736335.5151944936,1132531.3622549707,490848.58727039123
2500,696881.7025134439,874636.3711290519,392678.869816313
3000,690008.6317702242,734769.524501002,346721.3199086948
3500,682649.8588381876,610438.1276586124,346721.3199086948
4000,680643.3427084046,533561.1944720324,346721.3199086948
4500,680643.3427084046,489247.1444671887,346721.3199086948
5000,680643.3427084046,439761.1849416241,346721.3199086948
500,2409569.551691906,3384178.8450072957,2013283.8759888588
1000,1178255.719708986,2174484.5432513817,1006641.9379944294
1500,822030.5300693631,1563789.1672228188,671094.6253296196
2000,751345.0595654134,1141961.875013922,503320.9689972147
2500,721594.7044994792,882301.3942820132,402656.7751977717
3000,720191.7583306006,715742.4546679176,366539.0935592429
3500,721727.6238931511,599807.4956408541,366539.0935592429
4000,719236.4799220379,531439.8377600367,366539.0935592429
4500,719236.4799220379,476907.77147103334,366539.0935592429
5000,719236.4799220379,431180.5511453033,366539.0935592429
