i,Paper,Min Time,Time opt
0,832854,847493,680994.5757418879
0,837248,816531,665668.3560278681
0,812520,798575,651305.3816708076
0,826347,896621,695183.7690020413
0,824533,783224,661962.9561917708
0,804280,785529,656760.4495093515
0,837877,816191,688680.4760887198
0,841178,837495,682388.2379183229
0,801839,811501,654464.7830271883
0,806767,889150,671094.6253296195
0,852648,833208,687968.1991749884
0,867254,865227,689580.9764586003
0,812902,749520,648486.2089159007
0,816895,798216,654292.8127032269
0,843619,818115,680483.9164037625
0,802648,831609,648587.8302313235
0,835692,849170,677632.4893569171
0,832805,812595,676624.4427130694
0,866282,825802,705587.8103228756
0,808290,820602,664365.3703929629
0,807825,774034,640319.2764712868
0,861251,816829,690307.7181537312
0,849649,814507,685089.6095134421
0,779329,769729,630414.4107754434
0,825513,826079,662512.398456732
0,831798,845490,668547.956137865
0,836543,882058,680043.2235309207
0,851156,858045,693004.7815155316
0,820165,834278,669099.2209609594
0,870560,858931,708630.5724702912
0,798127,800813,647554.9163231079
0,816891,798255,656766.4697005105
0,806517,886031,661839.3241845047
0,766708,755760,626222.9190496806
0,814631,832729,659854.0368941076
0,829299,829321,678009.5163302443
0,839806,835720,680360.4768687921
0,836595,777724,667800.6698082492
0,784861,771667,639832.6650114884
0,835514,791943,667944.7563013969
0,818847,785886,659334.4283048674
0,832754,788933,667882.7699709953
0,855634,805815,687320.7117799128
0,828534,909693,683209.3117233003
0,854284,805839,678046.1594644671
0,858365,857557,696317.5547723348
0,859542,799786,681623.008672698
0,849488,839428,693221.4876556095
0,829084,817003,673455.7342058149
0,875026,846650,711203.4223013822
