P,n,Paper,Min Time,Time opt,mtpa
1500,100,143739.30853699,182512.38509725823,135264.95191661385,1.06265005458029
4000,200,114739.41905953115,145627.6071853701,100918.28076216583,1.1369537629157358
2000,200,219880.2007829669,277502.42991711735,201836.56152433166,1.0893972782847872
1500,100,158069.34152933123,207500.4967391995,132074.59556803893,1.1968186678860657
1900,200,229128.67371910196,282900.2514842715,212459.5384466649,1.0784579284804463
200,700,7248436.470387058,7202037.298273293,7126207.248610589,1.0171520722752345
4000,200,152023.32616668806,179308.51409175585,115155.9162563489,1.3201521129688945
1500,100,167167.09495763553,226730.19458459865,135657.59205852254,1.232272314589808
1300,600,979693.9205763816,1215995.3321112844,935483.819033813,1.0472590766863608
2300,600,590673.7294890714,830077.8867849492,528751.7238017203,1.117109794445931
2500,600,535173.2749570471,800681.3745086512,486451.5858975827,1.1001573239186073
1500,100,155912.18588291982,240810.0773627765,135704.79963632452,1.1489069384483754
3800,500,335246.8267528527,510656.40117590036,268813.6483191662,1.2471346929334832
4000,200,172341.7514134492,218462.54746444937,137320.72161632078,1.2550309187493094
2000,200,243350.7292127901,369444.4161332427,214724.98832849332,1.1333135053685701
200,700,7146687.422642443,7152082.92504924,7070017.65857421,1.0108443525562134
1900,200,252714.93048080613,368488.34575206484,226026.3035036772,1.1180775270993835
1500,100,149335.73106621302,179173.10167252147,139215.89287995544,1.072691687543058
1900,800,947497.6590582439,1293390.9587169017,859816.8620396103,1.101976131068937
4000,200,171526.8728489081,230367.08310138155,153927.2635835206,1.114337180143776
1300,600,1001673.4964400136,1303066.369642936,940880.1196031732,1.064613307870168
200,700,7187811.186811518,7136042.290103925,7073478.313940563,1.0161635998297507
4000,200,141749.43271853263,171672.95128901192,112828.85828240226,1.2563224947623268
2000,200,240361.42371054838,357658.42485692084,203089.54220536858,1.1835243759990834
1500,100,156552.04480637365,186780.6445378388,122984.77840698518,1.2729383817589734
2300,600,589725.495077315,909401.1726483472,531801.8067322284,1.1089196907791858
1900,200,253017.6642128076,357826.04421345587,213778.46547933534,1.1835507549625726
