P,n,Paper,Min Time,Time opt,mtsa
300,400,3138032.568465502,2701397.1208933843,2635097.862960475,1.1908599724413995
300,400,3019930.242984352,2600891.0756030986,2537608.9302703114,1.1900692052902977
2900,100,105048.55497472391,119340.20685229536,69964.63030169682,1.501452298421939
2200,300,395601.6178192062,454970.1914789621,285536.151295216,1.3854694616591419
700,600,2219667.7555051753,1965460.1645665434,1737327.092491367,1.2776337657419023
4000,200,144256.6112512055,149479.5095438314,100918.28076216583,1.4294398414413652
300,400,3153425.4654149925,2716246.3142608283,2635931.6427772148,1.1963229297147278
300,400,3091958.170663545,2662879.630493307,2602464.8559882855,1.1880883476865913
1500,500,932160.2537768924,972267.4358791086,680994.5757418879,1.3688218481936953
2200,300,377327.9990955202,440927.96251335065,271109.03115785,1.3917942810094934
600,900,3734373.085831271,3268530.176521416,3001051.047743991,1.2443550697474963
2900,100,112838.67914506204,140835.47121748512,82903.92042485606,1.361077721859231
300,400,3329345.927655681,2877216.9458322395,2768260.7019595876,1.2026851102928688
2500,500,580290.9550032069,692469.588099069,408596.74544513266,1.420204545121933
700,600,2270676.8686026563,2015407.6493368477,1747348.7935487502,1.2994983468589927
4000,200,166912.36495508556,195226.56453508118,115155.9162563489,1.4494467186863547
300,400,3245824.705814557,2801303.6095102485,2733944.4557608254,1.187231400760584
2200,300,401842.28702945483,473892.3295135727,287310.26703053585,1.3986353191713345
300,400,3039732.2029838255,2616867.8835398983,2548037.694464021,1.192969872301372
4000,200,188928.00701678058,220858.97180995773,137320.72161632078,1.3758157166159706
2900,100,123285.38549826843,174615.85756159792,70167.72003027028,1.7570099961219097
1500,500,875255.2492472496,898707.6517547093,665668.3560278681,1.314851819710966
300,400,3105989.0029920363,2684606.927619592,2585314.032285014,1.2013971858756465
700,600,2231151.0835993965,1992485.2136120782,1654425.0150743444,1.3485960761413753
4000,200,174987.30306510555,214799.354733571,153927.2635835206,1.1368181242964657
300,400,3189652.270228458,2750655.9589115013,2664231.2290463694,1.1972130029307393
2200,300,368914.5833398768,445409.6535523752,270549.0491236405,1.3635774530897846
3700,300,256199.13207230018,278513.7885646119,169778.25212147977,1.5090220854022252
600,900,3933231.294706733,3464105.3956343285,3085918.3380821026,1.2745740048167429
2300,900,1064979.4266235465,1160495.4638156877,782882.8820201715,1.3603304543783685
2500,500,551842.2219265734,642964.8330720941,399401.01361672085,1.381674565443493
2900,100,110724.72902611994,143942.05730424856,70336.67268244541,1.5742105050379296
300,400,3320179.7366417744,2862889.2867245395,2783051.3057331983,1.1929998307261063
1500,500,919460.6412271244,932395.6975278233,651305.3816708076,1.4117197049230767
1900,1000,1422134.8556356723,1576815.4313780654,1077328.724609538,1.3200565650480585
700,600,2390713.2524133204,2134630.599022677,1791006.1500288872,1.3348436868152354
1000,600,1590699.409627789,1493546.3209650556,1216128.9647439567,1.3080022396824453
4000,200,157379.64739652618,178133.42647698923,112828.85828240226,1.3948527867100862
2200,300,375837.0750194013,446260.60177499545,275142.78326041385,1.36597104443653
2900,100,101848.5413754287,117502.94192074765,72008.22045514936,1.4144015882029124
4000,200,156651.092224286,164526.34650728983,96651.75649921202,1.6207785341755598
700,600,2302584.9097078945,2030072.2640884726,1791767.1610535,1.2850915898883037
100,900,20963602.80653665,18006306.286463954,18006306.286463946,1.1642367109069904
1500,500,970811.7305322083,1046219.1536454915,695183.7690020413,1.3964821588482135
2500,500,559513.8912965864,622659.5146072604,390783.2290024846,1.431775597752249
2200,300,347496.19662602106,414274.89183688245,248384.47212712505,1.3990254449085282
600,900,3857037.9784379005,3394982.8407247267,3029622.680416013,1.2731083653982518
4100,1000,667369.0916099941,702596.5474952208,499249.8967702737,1.3367435745651826
4000,200,146871.7817766053,150958.3286615385,98721.17058075205,1.4877435195773632
700,600,2175261.8961158763,1905589.5266153163,1757199.9341891657,1.2379137136262295
4000,200,187665.69670761563,185945.76619433734,115640.3076979828,1.622839825000649
2200,300,383801.4605640701,437293.6756525528,272124.18440242205,1.4103908530103215
100,900,21552079.610805765,18515510.028492626,18515510.028492615,1.1640014008601611
2900,100,117488.07134182534,129145.96967093389,67972.02274811617,1.7284769025809446
1500,500,908715.160032675,944428.7499382569,661962.9561917708,1.3727583266297154
3700,300,265927.0056541763,301542.5100797708,161199.96447223512,1.649671614536734
2300,900,1125724.0350020442,1336084.2717867545,805022.1751518529,1.3983764295557406
2500,500,587633.4061192092,792710.6843868998,417110.26140122476,1.4088203060388285
700,600,2180972.388089302,1916551.4809141273,1732500.2960412884,1.2588583061559984
2300,700,869066.8176786074,989500.6586745228,619670.1955313554,1.4024667055890903
4000,200,147567.57002293615,183350.2662933166,100276.7805332551,1.4716025907313393
2200,300,395559.80668394367,449632.0765331761,275718.68018159457,1.4346500078392186
600,900,3847007.9420606783,3392447.212558685,3023612.4364814004,1.2723217749882882
1900,1000,1408890.8469093991,1644218.5827118764,1034397.2943473362,1.362040344274444
4000,200,172750.69868610526,196837.38125577135,124828.15119872103,1.383908173173963
100,900,21156623.033336595,18177736.08249609,18177736.082496077,1.1638755748967542
700,600,2241833.173493759,1984709.8248146938,1706379.75375746,1.3137949911543585
2900,100,135403.4222142897,176989.37228855395,96621.71431835281,1.4013767316129113
1500,500,881666.5317755729,910856.7399833179,656760.4495093515,1.34244766479809
2200,300,384138.53382385965,452824.9909115278,274768.8461056176,1.3980425338184146
2500,500,554240.2012393364,690718.496828264,397177.77371506253,1.3954461652150538
1000,600,1643076.2983763665,1568473.566127376,1223144.1554841253,1.3433218733944163
700,600,2224495.865281211,1968054.1961200554,1732324.0163438418,1.2841107346512017
2200,300,393678.2584014272,428507.3045258658,281245.11999948305,1.3997692063142315
1500,500,970849.5268213807,971341.4744599917,688680.4760887198,1.4097241907236968
2900,100,105280.06378714531,110727.21227721173,68576.57412486269,1.5352190617666863
600,900,3742006.0419226657,3280889.0685354783,2970297.969628498,1.2598083021248832
100,900,21122086.35443594,18141674.618888356,18141674.6188884,1.1642853704610296
700,600,2108094.7445999193,1854248.8033759857,1664462.4665469923,1.2665318605671316
2500,500,535202.6853846794,635276.7990977828,394056.2697056109,1.3581884784741918
3600,300,253517.1693297482,312137.31904603733,174494.31468040976,1.4528677899567706
1500,500,936185.8855703725,951569.7809072569,682388.2379183229,1.3719255894947406
2300,900,1073854.1544099657,1327042.8111603996,790336.3514128729,1.3587305613492942
2900,100,110384.29115230724,153788.49753552786,65065.78471962921,1.696502879784776
100,900,20745983.664176993,17821787.817770995,17821787.817770988,1.1640798261266552
4100,1000,663122.5508896107,730567.9139588019,479354.8437219363,1.383364661011487
1900,1000,1407961.488143381,1686516.5279926371,1038744.1580158019,1.3554458788320447
3700,300,269402.02023575845,318361.5267152989,170833.13174788616,1.576989296393274
3600,300,254281.64862410253,325787.272798318,165677.74126313053,1.5347966883508548
600,900,3703948.232692833,3251608.6794626596,2943714.9983641263,1.2582563987176685
4000,400,284315.0709814425,329109.8072809809,197632.33972203563,1.4386060063920902
1500,500,868188.4852429521,941063.8210225411,654464.7830271883,1.3265625710633313
2500,500,581536.4489414509,681552.7180068973,413208.28565323184,1.4073687995440671
2900,100,115880.9694392985,179602.38952009595,100845.66295829043,1.1490922469043279
100,900,20557640.394516695,17662289.990184747,17662289.990184758,1.1639283697607126
3600,300,260933.93006300362,299324.86071798997,175578.49651866077,1.4861383098543113
3600,900,691026.3613278955,780840.617377145,500175.17462399846,1.3815686911038068
1500,500,933325.7361375159,1062293.6398286396,671094.6253296195,1.3907513201720205
600,900,3789676.1239567194,3324985.0636386545,3002110.3209372703,1.2623373956402668
1000,600,1537530.8533975228,1512281.893513577,1158097.510552041,1.3276350561056072
4000,400,272815.45872559224,311525.9525617409,190320.66977027335,1.4334515481418506
100,900,20963875.275758605,18012661.92562361,18012661.92562362,1.1638410448339556
2500,500,567502.9191204925,660060.3066164453,409432.94275099377,1.3860704888752264
1000,500,1362072.8294837738,1292546.6534171826,1021491.8636128318,1.3334152507748507
3600,300,279410.26009966934,314760.89302440314,165335.53002000254,1.6899589584033503
3800,900,639454.044327414,728975.8874378597,473850.1654332617,1.349485746707999
4000,900,603159.3293740294,694161.3501619077,450157.6571615986,1.3398846377004
2300,900,1105825.64197801,1330042.3264115208,788768.4616908,1.4019648295870855
1000,500,1261277.3796141683,1213732.1608082354,998502.5340418022,1.2631689320894253
3700,300,258700.54556127996,304917.82520291803,160867.0021816241,1.6081641483515594
1900,1000,1362483.2452489228,1660759.1126491583,1017127.0810451743,1.33954082104359
3600,300,251104.69360236885,292124.57028743636,168142.81199247512,1.4934012975446522
100,900,20410660.86569297,17529660.984712034,17529660.984712057,1.16435000559871
4000,400,266071.9320738373,322571.68700227747,197694.8732082911,1.3458716847629337
2300,700,849611.5246221427,1032514.1529811895,614784.1442238443,1.3819672036187016
2500,500,569190.6797140075,695420.7537478377,392678.8698163129,1.449506768674014
600,900,3636442.752554728,3183171.751265934,2921610.164118676,1.2446707631343712
1000,500,1258587.9248569384,1219875.4309814747,976958.0725062113,1.2882721994693753
4100,1000,647542.517315742,691057.892391516,481369.24395854236,1.3452095775597812
3600,300,247633.47409855478,290746.7004548361,151790.5107443542,1.6314160409909908
1000,500,1448609.2067516935,1407414.4102021463,1042775.6535030619,1.38918587318882
100,900,20733739.523591176,17807310.812854506,17807310.81285451,1.164338610219808
4000,400,291713.7852618917,328847.49211414816,195184.86419912142,1.494551262767458
3600,900,739094.692837432,901868.0171062297,514319.72301368375,1.437033541134039
2500,500,578404.9084470886,806992.1861301175,402656.77519777167,1.4364713176948165
1000,500,1362613.5632796101,1278196.0129785577,992944.4342876563,1.3722958870877366
3600,300,248672.33324140322,311608.2103418986,166298.11269036902,1.4953406819739863
600,900,3803789.7702001077,3350105.591961825,2967885.135475751,1.2816499280017997
2300,900,1075609.8639244242,1262948.6520367688,774860.3399030864,1.3881338462347332
100,900,21195566.918568514,18204370.612090766,18204370.612090766,1.164311986951699
1000,600,1622553.5781228538,1645336.5106614786,1253704.305020221,1.2942075508759487
500,400,1951915.290383713,1695867.1887996213,1581058.717776285,1.234562175609156
4400,200,124875.112200006,124587.3370860357,91743.89160196893,1.3611272643826462
4000,400,300512.8645464006,341104.9328393765,207619.55264696907,1.4474208267724424
1000,500,1291173.3362730152,1201168.8090237086,985140.6742640273,1.3106486921145724
500,400,1883869.8353611622,1647502.0679339697,1522565.3581621868,1.2372998145938958
1900,1000,1452691.4999117753,1634237.0236514271,1061879.3164735278,1.36803822936878
3600,300,242854.25707681023,264770.95216452295,168494.74899986334,1.4413164713934628
3700,300,235432.15146260383,299726.6877995221,163598.41166835418,1.4390858020056492
4400,200,167620.87569272632,167387.55938249314,115155.9162563489,1.455599339938254
500,400,1957847.0717810055,1706578.1116392883,1581558.9856663288,1.2379222586858765
600,900,3853926.9539442644,3393932.605783481,3034061.7686817944,1.2702203342480651
1000,500,1355202.8422336413,1295209.622089149,1033020.7141330796,1.3118835118141265
500,400,1914684.8254331443,1665325.8613679255,1561478.9135929714,1.2261996039558705
4400,200,181010.45271045278,180940.75624528577,137320.72161632078,1.3181583273076787
3600,300,264718.1540915624,296611.9901109213,167914.29484232186,1.576507553095126
4000,400,298965.3544598066,325520.6111362731,205045.83418206192,1.4580415917855356
700,400,1446111.6061658629,1273227.6775251199,1129327.6555544892,1.280506679397518
500,400,2065527.4499316635,1808538.722511464,1660956.4211757525,1.243577148441694
1000,500,1351890.615332477,1258386.3492648664,1023582.3568774845,1.3207443507101098
500,400,2020334.788325374,1762348.2526386103,1640366.6734564954,1.231636085405362
700,400,1388445.5604682197,1231638.3253703138,1087546.684401562,1.276676744439924
4400,200,174517.86416756874,174649.15804881373,153927.2635835206,1.1337683793285633
