P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
56,512,100,57,0.773757,0.558521,9.0,0.472199,4204.513543892709,3096.4620972678213,1.3578443435824978,Roofline
57,8192,300,67,0.593592,0.272399,5.0,0.6807,64989.40532255679,28645.470223905646,2.2687498167972424,Roofline
58,4096,800,87,0.759213,0.430835,5.0,0.751711,44148.2492786629,16015.811319686769,2.756541544941623,Roofline
59,1024,800,34,0.613512,0.287316,6.0,0.205666,29936.307030196058,12813.837719051546,2.336248334539692,Roofline
60,128,200,70,0.413382,0.599422,3.0,0.517703,33263.70293699659,25822.58447709562,1.2881631955353334,Roofline
61,8192,700,43,0.506619,0.290083,7.0,0.498927,71198.67386877659,42057.71094135505,1.6928803844806362,Roofline
62,8192,200,82,0.668572,0.457403,7.0,0.2616,81050.33773087173,27366.490666336336,2.961663543896484,Roofline
63,1024,200,52,0.366465,0.552069,5.0,0.56244,22644.813642192545,8182.643203768256,2.7674203895098586,Roofline
64,512,200,91,0.863484,0.245115,7.0,0.256471,26395.891530134355,8686.753216160692,3.0386372069403187,Roofline
65,1024,500,48,0.273445,0.855023,3.0,0.357455,35050.31650414365,16598.594764545996,2.111643606060549,Roofline
66,256,500,66,0.649432,0.723637,6.0,0.240238,39319.808721998386,31117.703597957374,1.2635832396250286,Roofline
67,2048,100,89,0.430902,0.107302,3.0,0.825334,12799.017348191708,5081.77982600681,2.5186091854453663,Roofline
68,4096,300,79,0.404985,0.191272,6.0,0.600165,105851.23233727441,35029.15878819715,3.021803434598615,Roofline
69,8192,700,81,0.865154,0.543164,2.0,0.152786,47075.923956695806,16443.27112892882,2.8629293762525534,Roofline
70,512,600,10,0.770175,0.560932,6.0,0.477471,88564.14718136791,40054.95007407979,2.2110662232151728,Roofline
71,256,300,11,0.144749,0.21835,8.0,0.625963,19993.094143592327,15083.889852994305,1.325460099380366,Roofline
72,1024,900,72,0.816699,0.891594,7.0,0.412868,32644.265451590312,13481.79412590145,2.421359141575497,Roofline
73,512,500,8,0.753593,0.823164,5.0,0.346657,20937.70077270394,13026.928703063508,1.6072630203142264,Roofline
74,2048,300,56,0.443562,0.629253,1.0,0.240215,31061.387025309654,12420.433608911451,2.5008295203980344,Roofline
75,512,700,74,0.324086,0.508721,3.0,0.80494,48086.32524256845,19644.292134079446,2.4478522776164073,Roofline
76,256,600,49,0.247127,0.32032,7.0,0.237052,40568.79179362216,31009.277688916878,1.3082791608564934,Roofline
77,1024,1000,56,0.66855,0.855126,8.0,0.465335,21839.964761774547,14103.20000120165,1.5485822196319765,Roofline
78,128,200,21,0.898587,0.167287,1.0,0.177836,69114.02417865767,26968.878790134037,2.562732574701678,Roofline
79,8192,900,28,0.384945,0.566966,10.0,0.577573,61619.70063420614,50700.94643714276,1.2153560231977143,Roofline
80,512,1000,76,0.100781,0.684158,2.0,0.294628,39969.445932227754,29014.173311503764,1.377583483186142,Roofline
81,8192,900,9,0.16733,0.639422,10.0,0.553734,39437.780042586965,15866.527460540487,2.485596179798471,Roofline
82,2048,200,77,0.406022,0.478461,3.0,0.397584,13325.116553480848,4901.059495665019,2.718823667671632,Roofline
83,8192,1000,84,0.637089,0.821346,9.0,0.316851,37335.64159979972,21167.63514755145,1.7638078764844212,Roofline
84,1024,600,11,0.845114,0.635967,2.0,0.127899,33055.83077394235,11292.003116207285,2.9273664232785843,Roofline
85,1024,500,68,0.561295,0.346421,1.0,0.244844,158635.20001646623,80736.82160889733,1.9648432630271437,Roofline
86,256,700,41,0.724393,0.109709,6.0,0.825871,79489.82931055281,40503.138792011596,1.9625597344132384,Roofline
87,512,500,23,0.751468,0.820332,7.0,0.432396,19841.895578937627,14934.213368488849,1.3286200678506426,Roofline
88,4096,500,43,0.741385,0.816935,1.0,0.424356,17125.856533180147,6105.911710920453,2.8047992411273275,Roofline
89,1024,400,75,0.345105,0.130823,1.0,0.425734,81498.11076296704,58362.21078370841,1.3964191840675941,Roofline
90,2048,400,60,0.626911,0.411008,5.0,0.21605,18433.34198934736,10906.01561072105,1.6901994868984642,Roofline
91,4096,200,14,0.519277,0.703969,4.0,0.221614,10327.260263552294,3456.572890379028,2.9877166173168317,Roofline
92,128,800,5,0.195699,0.78373,4.0,0.299127,97668.42257309759,79920.49096406845,1.2220698521109994,Roofline
93,4096,400,29,0.767607,0.842156,5.0,0.359853,9951.381297097143,3432.42666990155,2.899226190135206,Roofline
94,256,400,94,0.788038,0.172852,3.0,0.585806,116654.83698955554,48906.94562664695,2.3852406952601872,Roofline
95,1024,100,82,0.706248,0.373687,6.0,0.690721,4396.405601184463,1445.4324047141868,3.041585055687048,Roofline
96,8192,400,26,0.439094,0.227314,4.0,0.2362,21411.11248139216,8144.403100633454,2.6289357509486297,Roofline
97,128,100,78,0.440845,0.226428,9.0,0.831527,14406.504850793166,11482.19776307621,1.2546818255578887,Roofline
98,2048,600,47,0.881356,0.15646,7.0,0.475287,26699.846227906077,8993.305120377117,2.9688580416791717,Roofline
99,2048,1000,38,0.631054,0.415076,3.0,0.831808,148960.09628958994,68482.03936773472,2.175170273328227,Roofline
100,4096,800,30,0.71568,0.506146,8.0,0.308233,22954.793013758128,9310.762513902644,2.4654042007281887,Roofline
101,128,300,99,0.605718,0.676056,6.0,0.285135,40078.036015136924,33300.69501494735,1.203519506038763,Roofline
102,256,300,1,0.798583,0.47718,7.0,0.485837,22596.320173997974,17059.506465367984,1.3245588446459526,Roofline
103,8192,200,73,0.211051,0.283267,10.0,0.696614,11162.726474922723,3631.3880687245173,3.0739558162516905,Roofline
104,128,600,61,0.788197,0.176221,7.0,0.780394,98542.04693022548,57210.54205881443,1.722445608519507,Roofline
105,8192,600,54,0.577908,0.247989,10.0,0.167351,76105.6330550907,70364.7320429823,1.081587762014095,Roofline
106,8192,800,58,0.766024,0.833216,2.0,0.844884,65684.56304867884,32298.32002706368,2.0336835783916896,Roofline
107,1024,500,17,0.25781,0.330995,10.0,0.74025,17712.751085877055,6637.9827855458525,2.6683936457995054,Roofline
108,128,700,69,0.218954,0.8015,6.0,0.699292,93094.79255178425,75264.85518519944,1.2368959233723604,Roofline
109,4096,300,74,0.520132,0.200871,9.0,0.204427,56090.45780504896,53617.705801541546,1.0461181985790284,Roofline
110,128,500,44,0.524843,0.312441,9.0,0.211628,74673.4474987954,59399.090920628536,1.257147985624512,Roofline
111,2048,400,49,0.367808,0.551241,2.0,0.447351,31460.56199884941,12577.99138526197,2.501238952644915,Roofline
112,4096,1000,69,0.339533,0.528849,9.0,0.419937,61724.28506497782,24653.74296094643,2.5036476271677772,Roofline
113,128,1000,37,0.69814,0.787848,3.0,0.798775,140149.81763602467,121274.05392595759,1.1556455243228816,Roofline
114,4096,200,96,0.206086,0.277858,4.0,0.596968,18082.394565154373,5905.9841014637495,3.06170728781217,Roofline
115,1024,200,74,0.585612,0.255356,2.0,0.266588,12240.591979230918,4909.981711961932,2.4930015420240372,Roofline
116,1024,1000,78,0.762017,0.149154,8.0,0.55725,41006.96358101333,13356.28080120019,3.0702382041360243,Roofline
117,1024,700,79,0.711499,0.498632,4.0,0.505429,96178.84052668723,71889.015710936,1.3378795018340497,Roofline
118,8192,300,75,0.870783,0.549104,10.0,0.865733,5810.470486942311,2694.130364115943,2.1567146728807125,Roofline
119,512,800,17,0.567406,0.24067,1.0,0.65081,99872.5969890681,41970.32014631833,2.379600552030314,Roofline
120,1024,900,14,0.188686,0.265268,1.0,0.276621,54105.34534325926,20648.04489824338,2.620361666680715,Roofline
121,512,1000,61,0.379896,0.567787,9.0,0.575405,127243.12040326805,91275.84525076073,1.3940503103936752,Roofline
122,2048,100,90,0.561706,0.345543,3.0,0.548995,6448.977517957477,2334.0400782371253,2.7630106175504574,Roofline
123,2048,800,90,0.793372,0.180407,6.0,0.499656,40214.744170813756,14761.957584328837,2.7242148570800238,Roofline
124,4096,100,56,0.381611,0.365799,10.0,0.375934,9520.120884006965,4415.2897739298605,2.156171252953464,Roofline
125,1024,1000,96,0.704403,0.884561,3.0,0.807186,66530.05365378594,63187.478500993195,1.052899328032851,Roofline
126,1024,400,13,0.174513,0.248114,5.0,0.256869,28630.051612629068,11959.03189406946,2.394010808418936,Roofline
127,128,1000,83,0.323485,0.107092,7.0,0.804113,161603.90728664486,103823.15647746391,1.5565304771072237,Roofline
128,4096,1000,14,0.709532,0.496691,10.0,0.700086,47576.44947102138,21242.000587215385,2.239734872225525,Roofline
129,4096,200,38,0.479715,0.864142,7.0,0.473108,41535.72289571868,14353.700848534972,2.893729173682624,Roofline
130,8192,900,5,0.247729,0.836127,5.0,0.441715,71342.40074143223,34516.58400674619,2.066902122396831,Roofline
131,8192,800,2,0.863552,0.250801,2.0,0.6604,165970.21663835188,55237.86550546984,3.0046457284254937,Roofline
132,1024,1000,64,0.4402,0.620379,8.0,0.519293,25136.097768982137,13544.82072602688,1.8557719055433628,Roofline
133,1024,400,78,0.102245,0.689565,9.0,0.607296,34736.34581929842,11489.321071542121,3.02335930931,Roofline
134,8192,800,15,0.215799,0.686416,5.0,0.298573,37906.36918483418,14795.02099803586,2.5621031014330096,Roofline
135,8192,700,71,0.336017,0.524537,2.0,0.841195,76587.46596449225,26720.66534538916,2.8662260080177218,Roofline
136,128,700,20,0.702088,0.779851,3.0,0.388685,98744.07404806363,83870.66672405912,1.177337416106863,Roofline
137,128,200,72,0.394906,0.175942,1.0,0.186823,58960.78452241957,23942.634921338562,2.462585455449247,Roofline
138,2048,900,5,0.247729,0.836127,5.0,0.441715,71337.91767544567,34516.58400674619,2.0667722408886937,Roofline
139,2048,700,96,0.25451,0.838536,4.0,0.8474,21637.129245323646,7484.086791654446,2.891084757254733,Roofline
140,256,700,51,0.31475,0.897052,7.0,0.415316,68043.4217489366,42996.977603587016,1.5825163893208178,Roofline
