=== START Bayesian-like search (NO repeats) ===
Grid size: 861 total combos
Initial random evals: 20, Max evals: 100, kappa=1.0

Completed computation for 1 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:600 
Completed computation for 2 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:400 
Completed computation for 3 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:800 
Completed computation for 4 (mu,gamma):(0.28, 0.75) model:Roofline P:128 n:1000 
Completed computation for 5 (mu,gamma):(0.28, 0.75) model:Roofline P:2048 n:600 
Completed computation for 6 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:900 
Completed computation for 7 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:100 
Completed computation for 8 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:300 
Completed computation for 9 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:200 
Completed computation for 10 (mu,gamma):(0.28, 0.75) model:Roofline P:2048 n:400 
Completed computation for 11 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:1000 
Completed computation for 12 (mu,gamma):(0.28, 0.75) model:Roofline P:1024 n:500 
Completed computation for 13 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:600 
Completed computation for 14 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:900 
Completed computation for 15 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:700 
Completed computation for 16 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:1000 
Completed computation for 17 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:900 
Completed computation for 18 (mu,gamma):(0.28, 0.75) model:Roofline P:2048 n:700 
Completed computation for 19 (mu,gamma):(0.28, 0.75) model:Roofline P:1024 n:600 
Completed computation for 20 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:1000 
Completed computation for 21 (mu,gamma):(0.28, 0.75) model:Roofline P:2048 n:200 
Completed computation for 22 (mu,gamma):(0.28, 0.75) model:Roofline P:512 n:800 
Completed computation for 23 (mu,gamma):(0.28, 0.75) model:Roofline P:128 n:200 
Completed computation for 24 (mu,gamma):(0.28, 0.75) model:Roofline P:2048 n:800 
Completed computation for 25 (mu,gamma):(0.28, 0.75) model:Roofline P:512 n:100 
Completed computation for 26 (mu,gamma):(0.28, 0.75) model:Roofline P:1024 n:100 
Completed computation for 27 (mu,gamma):(0.28, 0.75) model:Roofline P:512 n:900 
Completed computation for 28 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:800 
Completed computation for 29 (mu,gamma):(0.28, 0.75) model:Roofline P:1024 n:100 
Completed computation for 30 (mu,gamma):(0.28, 0.75) model:Roofline P:1024 n:700 
Completed computation for 31 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:300 
Completed computation for 32 (mu,gamma):(0.28, 0.75) model:Roofline P:1024 n:600 
Completed computation for 33 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:200 
Completed computation for 34 (mu,gamma):(0.28, 0.75) model:Roofline P:1024 n:300 
Completed computation for 35 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:900 
Completed computation for 36 (mu,gamma):(0.28, 0.75) model:Roofline P:512 n:900 
Completed computation for 37 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:100 
Completed computation for 38 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:700 
Completed computation for 39 (mu,gamma):(0.28, 0.75) model:Roofline P:1024 n:400 
Completed computation for 40 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:700 
Completed computation for 41 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:400 
Completed computation for 42 (mu,gamma):(0.28, 0.75) model:Roofline P:512 n:500 
Completed computation for 43 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:900 
Completed computation for 44 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:500 
Completed computation for 45 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:300 
Completed computation for 46 (mu,gamma):(0.28, 0.75) model:Roofline P:1024 n:800 
Completed computation for 47 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:800 
Completed computation for 48 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:800 
Completed computation for 49 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:500 
Completed computation for 50 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:700 
Completed computation for 51 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:800 
Completed computation for 52 (mu,gamma):(0.28, 0.75) model:Roofline P:4096 n:100 
Completed computation for 53 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:600 
Completed computation for 54 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:800 
Completed computation for 55 (mu,gamma):(0.28, 0.75) model:Roofline P:512 n:300 
Completed computation for 56 (mu,gamma):(0.28, 0.75) model:Roofline P:256 n:100 
Completed computation for 57 (mu,gamma):(0.28, 0.75) model:Roofline P:128 n:600 
Completed computation for 58 (mu,gamma):(0.28, 0.75) model:Roofline P:2048 n:900 
Completed computation for 59 (mu,gamma):(0.28, 0.75) model:Roofline P:8192 n:1000 
