mu,gamma,average,max
0.1,0.0,1.2837948306866411,2.7459740509717263
0.1,0.05,1.3027250666185548,2.517507466815321
0.1,0.1,1.3356929420638275,2.5366655666628883
0.1,0.15,1.3736426463036082,2.5670071399578545
0.1,0.2,1.4143832567729706,2.7440909813734757
0.12,0.0,1.2975181673070468,3.0660294377653505
0.12,0.05,1.3101376131768099,2.788442215324301
0.12,0.1,1.339985988344393,2.450820638789311
0.12,0.15,1.3767804470332325,2.5360659056385986
0.12,0.2,1.4143272637695505,2.550494417712008
0.14,0.0,1.3201604675791454,3.389591350788509
0.14,0.05,1.3182334149719481,2.865729582818876
0.14,0.1,1.3454249656375552,2.6484472019569703
0.14,0.15,1.3779120975993746,2.704643306560059
0.14,0.2,1.4149620264036293,2.5000221459272445
0.16,0.0,1.351112926849709,3.538848343198974
0.16,0.05,1.3288802913036086,2.8576145582039847
0.16,0.1,1.3495731152867312,2.6137083521200406
0.16,0.15,1.3823249082282998,2.6107389047582603
0.16,0.2,1.4201050715111114,2.4754441470345827
0.18,0.0,1.3821373353829978,3.7797513019700215
0.18,0.05,1.3401973663378481,2.899206857648005
0.18,0.1,1.3552375554735714,2.624254534820417
0.18,0.15,1.384999861705004,2.538528108103623
0.18,0.2,1.4203061204982974,2.474389693414708
0.2,0.0,1.4151720822134397,4.185547502100322
0.2,0.05,1.3478958269463661,2.982647473522162
0.2,0.1,1.3615004691461159,2.8237835127098623
0.2,0.15,1.38942295970226,2.7545747292999363
0.2,0.2,1.4228617714184644,2.499885396469633
