P,n,Paper,Min Time,Time opt,mast
600,200,808336.1958822799,712175.6584041534,672788.5384144388,1.2014714129751471
2200,100,151771.0571898362,142494.74299906907,92226.10357950944,1.6456409985811904
300,500,3948235.856414597,3529964.082916173,3404972.8787094397,1.159549869281504
600,200,887504.6963479682,803081.0225401587,715749.9610949778,1.239964714759096
2200,100,247608.11387806106,172740.52182803364,90050.86061457201,2.749647390243744
1000,500,1218299.9429209153,1274856.730521126,1021491.8636128318,1.1926672999743815
600,200,796003.5366059943,800745.9461174259,676965.1406845619,1.1758412490797654
3300,200,170988.37084924092,191228.03524571625,122325.18880262524,1.3978181642141991
2900,200,178907.35186390104,226661.33661964504,139197.6286374701,1.285275860049685
2200,100,148987.5627966193,200501.47480061726,92493.81276717446,1.610784098301267
300,500,3863975.214741374,3423342.344988312,3328341.7801393406,1.1609310191033353
600,200,835144.017476502,872346.500805379,684783.9574551154,1.2195729885089226
2200,100,217427.25451900397,176155.535528679,92525.99975203944,2.349904406347271
3200,500,664332.9118814365,587777.265108311,319216.2073790099,2.0811377885104205
600,200,738997.9474163709,683945.2176501385,592892.5650959571,1.246428089879601
200,800,9968465.557284595,8251726.431243703,8168260.189376298,1.2203903066468986
3300,200,360199.7547208207,235376.58766490003,130136.35656272323,2.767864140619392
2500,500,724147.2702111714,669155.2807232471,408596.74544513266,1.7722786054555384
900,600,1501682.9918461752,1623926.675062524,1351254.405271063,1.1113251405422326
1000,500,1166162.2935194613,1226288.900518661,998502.5340418022,1.1679112007848345
2200,100,141980.31172765454,133204.13721154275,94919.92696360598,1.495790360037807
300,500,3815535.839750271,3331758.3836715254,3256526.908354038,1.1716580108588064
600,200,791000.2304433929,706487.663763837,644345.0433280801,1.2276035000716854
2900,200,373351.20961078093,289217.91557895317,148086.19884723678,2.521174913780613
4400,500,636283.5060015019,342108.8952347402,232157.24173018904,2.7407437358382496
600,200,785175.545994725,693830.9455932296,658141.1372050137,1.193020009855636
2200,100,216656.46032397848,154239.2341841519,83853.25800476263,2.583757214438502
4000,500,638182.4687754633,429750.8704431896,255372.96590320792,2.499021251205379
600,200,909101.7320378639,816506.5716160344,722193.048937887,1.2588070923347425
2200,100,234884.47908878347,179328.09906901765,96748.51380656994,2.427783847495475
3300,200,374189.65599197935,277369.8122690744,137340.04259498307,2.7245488564137683
300,500,3975032.549641165,3641595.992639551,3475918.845010206,1.143591875094395
1000,500,1170926.5796053524,1197878.2071156155,976958.0725062113,1.1985433280688795
2200,100,172697.9168508197,137937.5867704477,90396.39316459172,1.9104514107811272
2900,200,384138.35944431694,307446.8574580032,140061.75324508178,2.742635662800443
600,200,797304.6654089553,723853.6345158729,668511.8702217006,1.1926559585913452
1400,800,1444822.8161170697,1607005.886230496,1166894.3127680426,1.238177956913459
600,200,824491.179752088,804808.1975255028,709004.755314729,1.1628852607428484
2200,100,166765.06383775265,155272.11542256927,85768.5344031476,1.944361822179307
3300,200,445630.8416910033,288139.1506123239,154082.1067420537,2.892164775738863
200,800,9998274.84572224,8296000.03193243,8213223.37538592,1.217338721808774
4800,700,694978.5290176375,421153.8007000582,296925.3020254412,2.3405837235052815
300,500,3848702.29769012,3421761.991854011,3309814.780958854,1.1628150070002257
3200,500,575627.7756589684,550882.6314273634,312032.0418880632,1.8447713644275872
2200,100,293671.13746928493,214791.57812178123,101520.01014978602,2.892741411629025
900,600,1548145.0886823067,1665728.2893616043,1359049.061649028,1.1391384846723895
2900,200,443880.4540147126,353447.54266920825,154293.44126561526,2.876858863045092
2500,500,650252.125657991,665270.3403962479,399401.01361672085,1.628068290988354
1000,500,1269108.9230528404,1362073.1695402628,1042775.6535030619,1.2170488626095584
3300,200,343852.067981226,245753.98112844114,112828.85828240226,3.047554262408557
2700,900,899720.9238384796,1068675.2111076221,666900.2328319979,1.3491087265299135
4500,900,765292.2968847984,533679.7941747627,400140.1396991988,1.9125606780167044
300,500,3764790.314423925,3371449.576327429,3283802.2475467576,1.1464729087253962
4400,500,547817.9683803092,322552.4242958992,226932.39410040958,2.414013964607975
2000,1000,1286608.2200458872,1522235.7022948782,1023462.2883790612,1.257113461487273
2900,200,343408.62691845035,272549.2949995894,122667.42726123251,2.79950949152237
1000,500,1147769.3140226465,1236065.2881614834,992944.4342876563,1.1559250189524073
3300,200,226152.08881304495,212392.43174437596,117153.64424146911,1.9303888519841146
200,800,10115272.372214694,8247703.071352951,8185967.258587394,1.2356844405410228
4000,500,548649.0748177217,415572.1312486086,249625.63351045054,2.197887561073541
300,500,4037436.0938797034,3544829.4741444304,3443402.3804435986,1.172513592024519
3200,500,568295.1365534987,543639.3607032566,305299.39765819104,1.8614354987681765
900,600,1548750.901563975,1632326.188917933,1286775.01172449,1.2035910609488711
2900,200,231581.73893761612,247291.7069698828,133312.76758512002,1.7371309825201213
4400,900,772209.2133646735,542661.9625813162,409234.23378327145,1.8869614260414782
1400,800,1396419.9842375396,1589509.426351887,1173317.625055131,1.1901466017540865
2500,500,600987.528757957,663619.6478202223,390783.2290024846,1.5379051201660856
1000,500,1124600.63213885,1184175.5012197408,985140.6742640273,1.1415634959738208
3300,200,226538.3618937874,198251.64910954545,119662.02494636612,1.8931516660805672
300,500,3931159.507552961,3501903.703340616,3411941.189591615,1.1521768076030328
4900,900,758967.1442663814,477442.9904909384,367475.6384992642,2.0653536309670257
4200,1000,924143.8768378319,688241.1053675712,487362.99446621956,1.8962126532606218
2900,200,229110.23433858468,212391.19681378515,136167.13183552006,1.6825663524684729
200,800,9534285.159587072,7845776.706170323,7776793.95244139,1.2259917413131345
4800,700,702648.6621155698,395018.3935117894,294584.0691072587,2.38522288134914
300,500,3841798.269325967,3386914.7237127298,3272323.915135941,1.1740275012372572
3200,500,739256.472964307,663034.3847829648,325867.3917197068,2.2685806918667537
3300,200,313544.91004921135,259628.74563008492,131307.82707961582,2.387861538970558
4400,500,533558.4455293383,327228.18127494387,222035.9255695935,2.403027546828692
1000,500,1193935.008343916,1283249.1573209735,1033020.7141330796,1.1557706365509592
2900,200,319062.2461546265,282200.9195557013,149419.2515043904,2.135348979078853
900,600,1683180.9093106743,1759623.3750071903,1393004.7833558011,1.2083094971546529
4000,500,530207.3365239016,395228.7294154949,244239.51812655284,2.1708499123764824
300,500,3919466.3532031146,3568307.5224054405,3355473.1266480973,1.1680815805306153
2900,200,283073.22199665237,241767.46283091832,138312.80073552427,2.046616224176768
5000,700,692274.9222014861,399643.5918761432,285048.28994442354,2.428623312690142
3300,200,281016.5066768941,214770.25917326042,121547.61276758194,2.311987049998601
3600,800,930820.8850578304,785521.2843911386,453792.2327431277,2.051204974203973
1400,800,1446844.4110692674,1568095.1375814092,1169423.8940839134,1.2372283638027388
1000,500,1186649.3497306677,1245483.3606307684,1023582.3568774845,1.1593100855612941
200,800,9686854.53517411,7921286.837322138,7853549.234770103,1.2334365324008405
2500,500,762428.7549940847,793781.5856625885,417110.26140122476,1.827882997730168
3200,500,605736.6897885301,528996.1221954852,310295.1357148926,1.9521307944224335
2700,900,1023025.2973945567,1166143.1959948966,685759.6306849116,1.4918132412851373
2900,200,365993.86407469795,295437.28458079626,146690.63903063358,2.495004906197641
4500,900,894153.1889553956,589177.7283064299,411455.778410947,2.1731452950026333
900,600,1579699.8068396156,1663810.9114802126,1393596.6808193887,1.1335415967773435
400,100,651870.9423323774,528687.192820374,507243.5696873019,1.2851241125328279
1000,500,1187353.4173333293,1229383.9601506975,981697.1745407823,1.2094905110516883
400,100,653443.913530957,554063.9792593489,495279.7333801461,1.319343129732736
3300,200,365074.6658896577,242060.80289129593,128909.95551176889,2.832012969365489
2000,1000,1346122.30818774,1540298.1300678155,982677.4296299694,1.369851659963969
400,100,638358.6577486815,555355.5179522905,508715.97021945956,1.2548429676255184
400,700,4429242.288149607,3771321.471892023,3563103.6243052944,1.243085454471784
400,100,643804.2617344571,567716.7085926994,508892.9986362169,1.2651073279840537
4400,500,731159.9971016957,344127.9637160749,237834.46181356232,3.074239080099543
4800,700,706741.0394742138,400387.2350691947,294728.2630808568,2.39794118177368
4700,100,133573.07356344085,66935.71502069315,43169.66550530229,3.0941419628798097
400,100,694858.758046982,532660.5420419833,522059.59829983284,1.3309950823811996
400,100,678143.7397176602,497381.5714119856,461192.91902619443,1.470412297633615
400,100,662168.7696909455,565000.9679329499,509177.8724939453,1.300466507799432
1000,500,1261068.8164796166,1387423.3721725778,1006641.9379944293,1.2527481410044286
200,800,9955097.803328006,8133271.926653144,8035705.186190534,1.2388580183897204
4700,100,245589.15787036208,89084.92793766159,82739.16147748545,2.968233584735936
400,100,671119.9082113868,513482.6521966862,497180.1624052545,1.3498525463378261
400,100,628117.3063449537,505863.12873628875,471726.9392173118,1.331527318298006
3200,500,567956.889121629,523475.39299326023,307856.4607075085,1.8448756534664361
900,600,1560960.7607000782,1600484.441423299,1366711.0599249066,1.142129310628279
2500,500,646955.3265181514,701460.1848315345,397177.77371506253,1.6288809931803503
400,100,647433.1866699628,590036.8991119391,533211.8611173065,1.2142137748273527
4000,500,721090.5403156416,436198.19557314855,260693.91337576546,2.76604286988572
4700,100,131685.98370912892,65127.904236364695,54290.25884700422,2.4255913769030677
1400,800,1319728.8729237262,1522608.8635430092,1110970.5646344842,1.1879062460650562
4700,100,205319.41771726083,84259.2097248752,70156.3045836674,2.926599668208006
400,700,4411460.429072868,3711894.066537819,3535008.829287105,1.2479347696459686
4400,900,887344.8443282075,620903.4277385281,420807.0461021049,2.108673922044788
4700,100,124710.26061776502,67985.76059884056,44430.604110624074,2.806854939610078
200,800,9796985.75754894,8101809.261705081,8002932.060086483,1.2241745505263066
900,600,1549147.6759516075,1599659.3798342894,1347500.2302543353,1.1496455742046234
4700,100,199220.7709178698,94765.13018184977,67742.26274582943,2.9408638395406257
4400,500,589615.6128882595,320752.2008656319,225669.18961083097,2.6127430771788482
2500,500,601478.3970013076,666991.0557471027,394056.2697056109,1.5263769244190846
4900,900,885089.8174521172,540373.6462384819,377867.5516018901,2.3423281880118174
4700,100,220077.97274189364,118840.46355456664,96621.71431835281,2.2777278823347364
400,700,4386511.056956781,3737884.2401712285,3536739.1569702816,1.2402698820216218
5000,700,697810.1443666506,387242.95799419057,282800.7063429684,2.46749788354622
3200,500,536356.7927636342,608713.1771065763,322818.9731665874,1.6614785292897045
3600,800,784992.6523238833,778897.6481975557,456290.18752143986,1.7203803057610099
2800,500,691088.6877504906,666732.2187879506,364818.52271886845,1.8943355249619496
4000,500,588617.5552299141,379573.07109508343,248236.10857191408,2.3712003810251137
4700,100,151648.7739653845,67165.96300578504,50459.111537190256,3.0053793922553247
4200,1000,1041813.7104241065,688131.0277378089,467941.6331571283,2.2263753353065723
900,600,1537889.3910252876,1626890.7582237644,1327184.252922469,1.1587610293287043
1400,800,1339518.2635070377,1540348.7443161425,1121935.6049671576,1.1939350686229888
4800,700,618915.8690935387,395103.54516095907,287085.60345497885,2.155858258460522
4700,100,146120.2358452759,70269.2951109127,54138.05797390288,2.699029874985778
200,800,10168718.450115707,8292075.205594411,8196768.335666549,1.2405765337869343
4500,900,847651.2043695067,541281.6734638512,403949.69072213507,2.0984078558252457
2500,500,577386.8420755441,682504.6718573677,413208.28565323184,1.3973263899168091
4700,100,286145.67209731415,106853.07553092093,100419.32952364009,2.8495078930989233
2700,900,972363.9847892933,1173078.6603376195,673249.4845368918,1.444284781678152
400,700,4303554.292301766,3627202.6699984814,3445027.2414597464,1.2492076232402272
2300,900,1025473.2754688368,1212251.892568679,782882.8820201715,1.3098680518121417
2000,1000,1303858.9619206302,1667678.000907174,986806.9501150118,1.3212908175896676
4400,500,530556.3485631844,321888.57725304074,223895.60778727892,2.3696594757109346
3200,500,522958.13997615554,586411.9158587662,319869.48652421386,1.6349109934140842
2800,500,593744.7529787209,639737.9752362944,356608.0478720722,1.6649785570507314
900,600,1547368.275475803,1624489.6288958672,1347363.1238229882,1.1484419070972665
200,800,9876849.244417327,8039867.65169709,7977869.7401856305,1.2380308987330633
4000,500,541882.0471015272,400696.9135744338,246285.16856600682,2.2002220038528124
