mu,Paper,Min Time,Time opt
0.02,14307643,1474762,680994.575741888
0.02,13777503,1502502,665668.3560278681
0.02,13936090,1405905,651305.3816708077
0.02,14697688,1482464,695183.7690020413
0.02,13216983,1450487,661962.9561917708
0.02,12677517,1432607,656760.4495093515
0.02,13378106,1525927,688680.4760887198
0.02,14433578,1514451,682388.2379183229
0.02,15223337,1438300,654464.7830271883
0.02,15533945,1423232,671094.6253296196
0.02,14569685,1494655,687968.1991749887
0.02,14706848,1504269,689580.9764586004
0.02,12440475,1432603,648486.2089159007
0.02,13251146,1427687,654292.812703227
0.02,13781571,1466848,680483.9164037626
0.02,12318419,1411237,648587.8302313236
0.02,14891219,1478751,677632.4893569172
0.02,13476535,1517151,676624.4427130695
0.02,13714737,1513814,705587.8103228756
0.02,13294290,1433918,664365.370392963
0.02,12578359,1401608,640319.276471287
0.02,14175159,1509752,690307.7181537312
0.02,13336064,1480516,685089.6095134421
0.02,13907791,1396276,630414.4107754435
0.02,13932441,1446036,662512.3984567322
0.02,13928473,1478696,668547.9561378651
0.02,15578688,1468762,680043.2235309207
0.02,13095039,1528810,693004.7815155316
0.02,14982590,1438755,669099.2209609596
0.02,12564864,1519974,708630.5724702912
0.04,7499625,1474762,680994.575741888
0.04,6765917,1502502,665668.3560278681
0.04,7134930,1405905,651305.3816708077
0.04,7564588,1482464,695183.7690020413
0.04,6954179,1450487,661962.9561917708
0.04,6363698,1432607,656760.4495093515
0.04,6929613,1525927,688680.4760887198
0.04,7534269,1514451,682388.2379183229
0.04,8057350,1438300,654464.7830271883
0.04,8024377,1423232,671094.6253296196
0.04,7532162,1494655,687968.1991749887
0.04,7621800,1504269,689580.9764586004
0.04,6348895,1432603,648486.2089159007
0.04,6738755,1427687,654292.812703227
0.04,6912162,1466848,680483.9164037626
0.04,6672594,1411237,648587.8302313236
0.04,7683326,1478751,677632.4893569172
0.04,6876601,1517151,676624.4427130695
0.04,7088531,1513814,705587.8103228756
0.04,7043312,1433918,664365.370392963
0.04,6468769,1401608,640319.276471287
0.04,7325352,1509752,690307.7181537312
0.04,6716559,1480516,685089.6095134421
0.04,7101168,1396276,630414.4107754435
0.04,7493932,1446036,662512.3984567322
0.04,7353324,1478696,668547.9561378651
0.04,8138231,1468762,680043.2235309207
0.04,6832336,1528810,693004.7815155316
0.04,7752689,1438755,669099.2209609596
0.04,6528339,1519974,708630.5724702912
0.06,4892737,1474762,680994.575741888
0.06,4511436,1502502,665668.3560278681
0.06,4662231,1405905,651305.3816708077
0.06,5057234,1482464,695183.7690020413
0.06,4600181,1450487,661962.9561917708
0.06,4207795,1432607,656760.4495093515
0.06,4627104,1525927,688680.4760887198
0.06,4947636,1514451,682388.2379183229
0.06,5249908,1438300,654464.7830271883
0.06,5394238,1423232,671094.6253296196
0.06,5090329,1494655,687968.1991749887
0.06,5159798,1504269,689580.9764586004
0.06,4165357,1432603,648486.2089159007
0.06,4442096,1427687,654292.812703227
0.06,4528212,1466848,680483.9164037626
0.06,4481657,1411237,648587.8302313236
0.06,5225548,1478751,677632.4893569172
0.06,4610390,1517151,676624.4427130695
0.06,4576584,1513814,705587.8103228756
0.06,4630271,1433918,664365.370392963
0.06,4221621,1401608,640319.276471287
0.06,4775077,1509752,690307.7181537312
0.06,4519606,1480516,685089.6095134421
0.06,4735640,1396276,630414.4107754435
0.06,4979961,1446036,662512.3984567322
0.06,4851634,1478696,668547.9561378651
0.06,5453405,1468762,680043.2235309207
0.06,4562392,1528810,693004.7815155316
0.06,5092904,1438755,669099.2209609596
0.06,4354559,1519974,708630.5724702912
0.08,3625416,1474762,680994.575741888
0.08,3342301,1502502,665668.3560278681
0.08,3496479,1405905,651305.3816708077
0.08,3766685,1482464,695183.7690020413
0.08,3384168,1450487,661962.9561917708
0.08,3132135,1432607,656760.4495093515
0.08,3450178,1525927,688680.4760887198
0.08,3730048,1514451,682388.2379183229
0.08,3859353,1438300,654464.7830271883
0.08,4069498,1423232,671094.6253296196
0.08,3710460,1494655,687968.1991749887
0.08,3744217,1504269,689580.9764586004
0.08,3074072,1432603,648486.2089159007
0.08,3322109,1427687,654292.812703227
0.08,3398863,1466848,680483.9164037626
0.08,3330804,1411237,648587.8302313236
0.08,3857788,1478751,677632.4893569172
0.08,3367126,1517151,676624.4427130695
0.08,3406252,1513814,705587.8103228756
0.08,3406280,1433918,664365.370392963
0.08,3121353,1401608,640319.276471287
0.08,3530821,1509752,690307.7181537312
0.08,3314176,1480516,685089.6095134421
0.08,3490558,1396276,630414.4107754435
0.08,3661778,1446036,662512.3984567322
0.08,3624647,1478696,668547.9561378651
0.08,4027789,1468762,680043.2235309207
0.08,3365509,1528810,693004.7815155316
0.08,3766100,1438755,669099.2209609596
0.08,3196363,1519974,708630.5724702912
0.1,2861108,1474762,680994.575741888
0.1,2593997,1502502,665668.3560278681
0.1,2728462,1405905,651305.3816708077
0.1,2935317,1482464,695183.7690020413
0.1,2688630,1450487,661962.9561917708
0.1,2445757,1432607,656760.4495093515
0.1,2688284,1525927,688680.4760887198
0.1,2919489,1514451,682388.2379183229
0.1,3028485,1438300,654464.7830271883
0.1,3183665,1423232,671094.6253296196
0.1,2885572,1494655,687968.1991749887
0.1,2969016,1504269,689580.9764586004
0.1,2405273,1432603,648486.2089159007
0.1,2589548,1427687,654292.812703227
0.1,2663638,1466848,680483.9164037626
0.1,2593680,1411237,648587.8302313236
0.1,3004828,1478751,677632.4893569172
0.1,2652465,1517151,676624.4427130695
0.1,2681489,1513814,705587.8103228756
0.1,2680271,1433918,664365.370392963
0.1,2462227,1401608,640319.276471287
0.1,2770586,1509752,690307.7181537312
0.1,2597030,1480516,685089.6095134421
0.1,2766556,1396276,630414.4107754435
0.1,2867840,1446036,662512.3984567322
0.1,2809766,1478696,668547.9561378651
0.1,3135633,1468762,680043.2235309207
0.1,2635326,1528810,693004.7815155316
0.1,2971738,1438755,669099.2209609596
0.1,2514481,1519974,708630.5724702912
0.12,2310705,1474762,680994.575741888
0.12,2126865,1502502,665668.3560278681
0.12,2212632,1405905,651305.3816708077
0.12,2393718,1482464,695183.7690020413
0.12,2178482,1450487,661962.9561917708
0.12,2010349,1432607,656760.4495093515
0.12,2180684,1525927,688680.4760887198
0.12,2366375,1514451,682388.2379183229
0.12,2461124,1438300,654464.7830271883
0.12,2595619,1423232,671094.6253296196
0.12,2384985,1494655,687968.1991749887
0.12,2387129,1504269,689580.9764586004
0.12,1968901,1432603,648486.2089159007
0.12,2112659,1427687,654292.812703227
0.12,2137796,1466848,680483.9164037626
0.12,2111264,1411237,648587.8302313236
0.12,2443373,1478751,677632.4893569172
0.12,2152974,1517151,676624.4427130695
0.12,2184877,1513814,705587.8103228756
0.12,2180989,1433918,664365.370392963
0.12,1993615,1401608,640319.276471287
0.12,2241750,1509752,690307.7181537312
0.12,2117435,1480516,685089.6095134421
0.12,2245579,1396276,630414.4107754435
0.12,2322431,1446036,662512.3984567322
0.12,2288426,1478696,668547.9561378651
0.12,2569190,1468762,680043.2235309207
0.12,2123161,1528810,693004.7815155316
0.12,2408462,1438755,669099.2209609596
0.12,2049340,1519974,708630.5724702912
0.14,1919545,1474762,680994.575741888
0.14,1755702,1502502,665668.3560278681
0.14,1847184,1405905,651305.3816708077
0.14,1987922,1482464,695183.7690020413
0.14,1803721,1450487,661962.9561917708
0.14,1692981,1432607,656760.4495093515
0.14,1826708,1525927,688680.4760887198
0.14,1975861,1514451,682388.2379183229
0.14,2055048,1438300,654464.7830271883
0.14,2152341,1423232,671094.6253296196
0.14,1994270,1494655,687968.1991749887
0.14,1987589,1504269,689580.9764586004
0.14,1637698,1432603,648486.2089159007
0.14,1770414,1427687,654292.812703227
0.14,1798412,1466848,680483.9164037626
0.14,1762373,1411237,648587.8302313236
0.14,2046828,1478751,677632.4893569172
0.14,1791293,1517151,676624.4427130695
0.14,1811437,1513814,705587.8103228756
0.14,1822421,1433918,664365.370392963
0.14,1661520,1401608,640319.276471287
0.14,1874041,1509752,690307.7181537312
0.14,1755687,1480516,685089.6095134421
