P,n,Paper,Min Time,Time opt,mtsa
600,100,515395.3842029891,367428.21057996614,338162.37979153456,1.524106213472689
600,100,493134.5777993182,392006.57815759385,330186.4889200974,1.4935032000011756
600,100,499661.01388456946,405055.13582158694,339143.98014630633,1.4733005541452224
600,100,505805.2839423282,417444.31186475535,339261.99909081124,1.4908987310628263
600,100,536086.7676694676,369742.41650614626,348039.73219988856,1.540303356404086
2300,400,478112.2861801278,570239.9791728398,343708.416907888,1.3910403780081397
600,100,469946.6799924747,356111.3948017406,307461.94601746293,1.5284710387079352
600,100,525012.8067931507,408468.223651528,339451.91499596345,1.5466485342979839
4300,400,258252.05428890735,260452.7787074933,183844.0369507308,1.404734461733548
600,100,510185.64850113005,349162.47519597906,331453.44160350296,1.5392377464326747
600,100,469725.51732834004,354534.8760673568,314484.62614487455,1.4936358673124779
600,100,522744.9822446555,439132.62523487996,355474.57407820434,1.4705551968103678
600,400,1976403.9314565524,1445314.154225965,1317548.9314802375,1.5000611242848534
2300,400,449375.79281022947,547318.583351999,330992.4691656928,1.3576616831885522
4300,400,248897.18965126108,278649.27394765336,177042.48350723102,1.4058613770016126
1800,900,1420265.856249072,1395624.5105083035,1000350.3492479969,1.4197684414432825
400,500,3907382.016019293,2711338.5265642223,2553729.6590320794,1.5300687769355659
2700,500,523198.0692299725,649767.9632638583,378330.3198566043,1.3829134007242039
2300,400,474978.0157681552,542016.5953047563,343817.170797028,1.3814842774346423
3400,800,680756.1391664388,820227.691056596,480485.8934927234,1.4168077531224095
4300,400,248980.7442765811,259114.54625872668,183902.20763561965,1.3538757771190373
2300,400,467185.79256072023,535980.3791187276,339451.93773760245,1.3762943752050592
4400,1000,611008.6326770755,640174.5395388548,465210.1310813914,1.3134035392926033
2700,500,515097.49738292175,637531.1005045831,369815.7533488156,1.392848986876647
1300,500,1145082.6331209235,1098678.499521597,785762.9720098707,1.4572875967824799
600,400,1926501.8471528485,1393643.982624147,1268804.4651351557,1.5183599207681173
2300,400,506356.44546429557,622556.5666357471,361077.482864294,1.4023484418013477
4300,400,251899.1918024536,276182.15192881314,181567.31553406644,1.3873597847801589
1800,900,1455409.9339436002,1560950.6394781917,1028639.4460273675,1.4148883163721082
2700,500,528369.5019814528,642820.2269220647,361836.3231504487,1.460244503318593
2300,400,516209.7410302802,576607.9707144789,356601.450751412,1.4475817188700435
400,500,3815438.4065170055,2628184.84706104,2496256.3351045055,1.5284641856932022
3400,800,644647.5553982907,764197.541273163,483130.7867874069,1.3343127224097941
4300,400,268557.7420424312,271940.1553525287,193134.4675785759,1.3905220824096025
2300,400,473585.0287245938,524370.2798847755,332352.7427561766,1.4249469548443872
3800,400,290175.29701519565,361498.4882471933,208034.04181266908,1.3948452593950624
600,400,1978583.214500098,1442133.1218181925,1317965.8213886074,1.5012401553899666
2700,500,531511.5108751727,732900.5028051281,386213.205001134,1.3762126825094239
4500,400,235862.13311402942,244400.3408845538,175673.19086403167,1.3426188250692337
4300,400,268658.4462724064,282774.39265469543,190740.31086703434,1.4085037664622924
2300,400,474015.2617061076,581350.6403198233,337214.87377630617,1.4056772063398038
1800,900,1414015.8306202576,1560161.9734935,1009874.2268053377,1.4001900366280184
2700,500,496972.20475939906,633314.8672768725,367757.19788431714,1.3513595590200473
1000,700,2108741.665515782,1746067.9582209203,1425241.4497221177,1.479568017002963
4400,1000,614172.3383079894,630318.2790675486,446671.55892271333,1.3749976376137671
2300,400,502336.86984687205,580675.4551314735,347508.42117996124,1.4455386955550384
400,500,3779859.3980747475,2575013.788169084,2442395.1812655283,1.5476035274996782
2300,600,723328.8799152896,821225.5131906138,528751.7238017203,1.367993421779434
4300,400,273235.8815754746,269443.5649772338,177770.07170679214,1.5370184584621223
600,400,2006232.1594043626,1447951.0363880063,1301232.4279941428,1.5417938534601239
3400,800,660467.1873319177,801131.4914845075,481527.48579925846,1.3716084892550797
5000,500,290920.7510032861,301843.4190019171,218726.61253679788,1.3300656359515581
2700,500,495773.29523561563,634835.4755577464,364866.91639408417,1.3587784284068731
2300,400,508567.63953324844,609792.6817881053,363006.6920521563,1.4009869533208994
1300,500,1120437.2996519716,987009.2659775822,768078.8723398478,1.458752922390264
1800,900,1408964.3441219863,1592821.68465323,1007870.8121604668,1.3979612536866084
4300,400,246294.7825960385,261670.37542585185,180370.74643848935,1.3654918408846901
2700,500,513241.75677316904,633800.990161814,382600.2644937332,1.3414568791589943
1000,900,2677419.033165504,2120466.9465719773,1800630.6286463945,1.486934072191267
4100,500,353877.582187891,381611.863629193,249144.35697873944,1.4203716531219244
2400,700,845985.8704171592,996935.4653729247,593850.6040508824,1.424576930033186
400,500,4006592.3767212536,2804500.9441941744,2606939.1337576546,1.5368952519217938
600,400,2108618.3945013033,1576094.4442701314,1384130.3509797938,1.5234247215290533
3400,800,606348.1484953476,843286.8818779805,457458.46779067,1.32547147159337
4300,400,258892.4486510302,280194.49985394377,185876.5973753281,1.392818957882396
4400,1000,594201.1447089919,618894.2494401925,448548.61368864175,1.3247196102615852
2700,500,526930.5214608078,646827.0764742787,379104.57662129053,1.3899344770696058
1800,900,1415782.26891867,1422456.1190037748,990099.3232094994,1.4299396391154775
4100,500,351608.0372499476,367926.09748049366,243537.2034248298,1.4437549265793181
4300,400,266889.6098908246,288687.74244383554,194166.37016743244,1.3745408623577906
3800,400,267718.01467904384,371533.46193135425,200337.54712660355,1.3363346937149987
600,400,2088020.0618236416,1494811.7271392304,1366972.2278804127,1.5274780417896745
3600,300,258424.37564257975,307797.3628455949,174494.31468040976,1.480990232351637
4500,400,243552.4656648784,244132.53090222276,169173.92868468742,1.4396572069850102
2700,500,492589.08363679214,642721.130142438,363591.54612621566,1.3547869549909635
400,500,3803633.3750865418,2615771.1537804743,2482361.0857191407,1.5322643417867743
3400,800,617316.7175965563,790102.8758205335,461973.4843982414,1.336260063498368
4100,500,343562.9280051795,355731.9218146336,238282.45670883206,1.4418305600441006
3600,300,246053.0236404113,321253.04762202135,165677.74126313053,1.4851302399736859
1300,500,1097747.7623917256,971160.3148487215,751506.2096201626,1.460730128825636
1800,900,1380772.4594762824,1486248.618372983,981238.3327880421,1.4071733781058304
1000,700,2072124.675858219,1746653.567923521,1414003.531714842,1.4654310469403398
3600,300,253136.25613108536,311616.3001952405,175578.49651866077,1.4417269833733974
2700,500,537329.5059445495,763016.9146017326,372830.34740534413,1.4412171908322702
600,400,1932312.1764599953,1388626.2329857342,1274018.8472320104,1.5167061151867745
3600,300,255147.15956979,293309.3643084248,165335.53002000254,1.5432082840205124
4100,500,357600.1459048473,408504.39695342164,254335.52524464924,1.4060172898019898
4400,1000,613955.670513691,621433.5686506296,439213.9668149616,1.3978509721944867
2300,600,729090.9829302588,877024.9088412425,531801.8067322284,1.3709825233771142
3400,500,404154.14896216674,555285.9107233732,300438.7834155387,1.3452129727312159
3400,800,645682.8500611031,834679.5038141366,472688.5403641491,1.3659794873886364
3600,300,249452.410435091,288064.9947522163,168142.81199247512,1.4835746320589354
400,500,3803338.778927215,2598645.131507392,2462851.685660068,1.5442825083914395
1800,900,1407499.0531533912,1448328.4879939447,1000703.4403124234,1.4065096575604503
