P,n,Paper,Min Time,Time opt,mtsa
1700,200,318611.6313169076,307153.70570547966,237454.7782639196,1.3417781425429394
4400,100,71074.91583699737,81223.35728829254,46113.05178975472,1.541318847450227
2400,200,236390.7426618629,230834.91714962848,168197.1346036097,1.4054385838317942
4400,100,88038.54526910078,88660.25001614822,82739.16147748545,1.0640492808602777
1700,200,347296.7048329349,391094.6840622043,252617.6333276392,1.3747920137566134
4400,100,76459.90266174002,80501.78733697186,54290.25884700422,1.4083539899342208
1700,200,353795.3390338414,376244.24556865514,238928.87318278657,1.4807559016242424
2400,200,240634.44944494872,323216.5281509937,178937.49027374445,1.3447961580148367
4400,300,221503.7707260667,217209.3229011427,142768.075647608,1.5514937055872398
3700,400,294893.89834820386,362198.54357013106,213656.58348328175,1.3802237850128254
1700,200,338615.8573686563,464537.45808977785,241688.45557239366,1.4010427455738765
4400,100,94501.0163573167,94288.79435181632,70156.3045836674,1.3470067575269182
2400,200,254360.27057053606,333323.691810697,169241.28517114048,1.5029445700162427
4400,100,64061.15690624082,71072.05061741729,47459.96348180299,1.349793640924377
4200,500,350973.5103841333,354708.7547859896,243212.34847924564,1.443074385732036
1700,200,305847.6315339061,376348.83445532614,209256.19944563194,1.4615941240649843
4400,100,92417.76611212408,93113.8229184982,67742.26274582943,1.364255670922563
2400,200,254516.69802982933,380777.4736167814,171195.98936377885,1.486697784076005
1700,200,326677.52819348313,322440.7309326114,227415.89764520474,1.436476216377529
300,600,5131468.905326616,4152112.642315552,4053763.2158131893,1.2658531424108446
4400,300,215865.45604569622,219001.38903153987,148288.0517849619,1.4557171225010823
4400,100,114454.82698243661,114097.02232086615,96621.71431835281,1.184566303650198
3700,400,303570.52859268733,359801.36075760436,205752.07542732256,1.4754190350799985
2400,200,219777.7882310951,301678.99855800165,148223.14127398928,1.4827494974272446
1700,200,320145.71812910715,307818.18451360514,232285.10724882834,1.378244700751137
4400,100,71811.17237893512,73172.86126736931,50459.111537190256,1.4231557035245774
2400,200,256125.9082396893,267241.58986199053,161086.26083202002,1.5899922620140532
1700,200,350110.3145989005,392145.2770647376,254891.66433101892,1.3735651792214925
4400,100,67176.69576924942,72050.44220336249,54138.05797390288,1.240840515587607
4400,300,208259.54461619223,211394.1984292058,143655.13351526792,1.449718778020961
4400,100,107365.00357435748,113246.98926371666,100419.32952364009,1.069166704096369
