P,n,Paper,Min Time,Time opt,mast
800,100,10000.052559802305,292523.53119049757,253621.78484365094,0.039428996866207655
3700,100,20488.43299482348,89774.0561408218,54837.142668897504,0.3736232779036479
800,100,56695.889556358336,314585.758803098,247639.86669007305,0.22894492035611752
3200,200,12405.171735568263,214446.37263097346,126147.85095270729,0.09833835171888065
800,100,77938.11439889878,320788.0212132481,254357.98510972978,0.30641111724987263
3700,100,56695.889556358336,120147.83815873091,82739.16147748545,0.6852364532578219
3400,200,13127.361317214745,172658.07020872636,118727.3891319598,0.11056725337928817
1700,300,22596.291007034677,518229.9482806512,369517.37226439716,0.06115082186411137
800,100,0,334994.3516205516,254446.49931810846,0.0
3700,100,77938.11439889878,118817.22754772978,54996.32110480643,1.4171514172806612
800,100,0,285711.83507126605,261029.79914991642,0.0
4900,200,12405.171735568263,109459.7829070808,82382.2700099313,0.150580601069536
4600,200,12405.171735568263,125070.93811034836,87755.02674970942,0.14136138059589093
3700,100,6467.18222830902,114990.71321132699,70156.3045836674,0.09218248119948153
800,100,2940.655542932858,286133.9319900023,230596.45951309722,0.012752388085844992
3100,300,22596.291007034677,346767.3276308295,202638.55898370166,0.11151032222279132
2200,400,10286.313297024017,585421.5250342175,359331.52676733746,0.028626247714925033
800,500,0,1504610.6788577687,1276864.8295160397,0.0
3400,200,17804.21413277329,247680.64012249402,126308.8166638196,0.1409578096211648
800,100,75213.8132441945,337125.0312538672,254588.93624697262,0.2954323717006728
1700,300,10541.841366911987,529056.2269841715,350846.9814983941,0.030046835010208685
3200,200,17804.21413277329,264780.0511998313,134203.11770530834,0.13266617376109627
800,100,34886.06567025735,277743.4481988715,248590.08120262725,0.14033571050576837
4900,200,17804.21413277329,152827.1266238622,115155.9162563489,0.15460963458568017
3700,100,11061.634681849195,92248.07704638272,56438.87549187383,0.1959931799747121
800,100,0,289191.24889415165,235863.4696086559,0.0
4400,600,29831.19818103164,379092.213254367,276392.94653271744,0.10793038880064341
4600,200,17804.21413277329,161437.27005101938,115155.9162563489,0.15460963458568017
3100,300,10541.841366911987,355460.4441211026,192399.95759589353,0.05479128737155702
3200,200,51143.070465844066,258531.77725207727,137362.30372257222,0.3723224573252401
800,100,47290.783852739885,376423.5358918811,266605.93055865326,0.17738083977969096
1700,300,977.0212225315727,562830.0921062022,371813.2867453993,0.002627720034116457
3400,200,51143.070465844066,264010.7123948259,137320.72161632078,0.37243520033880767
800,500,18109.823256662912,1440382.2665179304,1248128.1675522528,0.01450958621675746
3700,100,11841.527292420687,100356.97083622096,67742.26274582943,0.17480265365286626
2900,700,9381.752035899168,858971.7131495147,491462.56886969577,0.01908945386721121
2200,400,23891.93236104632,562835.754007594,346037.581400497,0.069044328261543
3200,200,41081.14573828589,330444.7952168422,154125.95210631838,0.2665426891244604
4900,200,51376.79326923628,163295.71224935722,137320.72161632078,0.37413722171359515
4400,700,10575.576140799949,458179.4464261968,323918.5113004813,0.03264887856621931
4600,700,14182.524135003518,430618.1837307528,309835.0977656777,0.04577442722686468
3100,300,17569.444394003367,370752.8511958212,203897.60886038028,0.08616797662416
4600,200,51376.79326923628,182538.4731964467,137320.72161632078,0.37413722171359515
3700,100,99344.983401091,138339.83549882885,96621.71431835281,1.0281848557744013
4100,700,10575.576140799949,533283.6794445349,347619.86578588234,0.03042281866397708
2200,700,9381.752035899168,1022239.4262013052,647837.0226009625,0.014481654657884365
