P,n,Paper,Min Time,Time opt,mtpa
1500,400,632244.7305235001,737260.3683628344,527019.572592095,1.1996608160373727
1500,500,762846.5722838631,1005960.0356604647,680994.5757418879,1.1201947848891514
1800,200,291165.43379304744,290551.2460336175,224262.8461381463,1.2983222089926079
2900,500,412862.7039052395,595394.4083814089,352238.57365959714,1.1721109917513732
1100,200,488336.5651103816,425186.17261687404,366975.56640787574,1.330705937429139
1500,400,597822.6049921791,688209.1966600117,507521.7860540623,1.1779250101561114
4600,200,122002.13828768814,114625.52961629172,87755.02674970942,1.3902581174712265
800,900,2374037.95807277,2600521.6610830226,2250788.2858079933,1.0547584475367626
1100,200,492120.36202396825,515803.8304437935,390409.0696881697,1.2605249217622894
1800,200,313792.13820247253,372779.20966483816,238583.3203649926,1.315230828887883
4600,300,207641.4510544219,198084.40533709928,142348.1066563424,1.4586878317652026
2800,400,337466.20767603925,475075.200979401,282331.9138886223,1.1952818334563728
1100,200,480531.18477100215,503799.256881044,369253.71310067014,1.301357759508824
4600,200,163436.82667469705,162061.28664984333,115155.9162563489,1.419265566094493
1300,800,1352153.5461643685,1621504.883001328,1256655.4137501998,1.0759938893106555
1800,200,300505.30889566377,383632.9267254607,225655.04689485396,1.3317021401949276
1100,200,495633.9692574525,573961.573736378,373518.5222482448,1.3269327750446827
1500,500,758276.4255289504,915070.1989291995,665668.3560278681,1.1391204323631772
1500,400,598075.7704298777,719338.482425103,527186.328555443,1.1344675270101954
1100,200,490052.00451485027,450170.42268473346,323395.9445977948,1.5153313227978922
1800,200,306089.4733379157,431712.8882901573,228261.31915170513,1.3409607658250897
3900,800,503971.3602693286,667798.083202843,418885.1379167332,1.2031254266402476
4600,300,210096.86749951646,215351.5415780086,148288.0517849619,1.4168158861793252
2900,500,410700.3955315109,577112.838968512,344311.2186351042,1.1928173504179802
1500,400,603545.5399555821,723447.2313201423,520492.9711976571,1.1595652071281974
4600,200,174315.7269868147,190501.09293946825,137320.72161632078,1.2694058473844854
1500,500,752249.6188454808,896701.6287650267,651305.3816708076,1.1549875680678683
2800,400,325177.0276999232,473060.1752157197,271886.6711003905,1.196002093018587
1100,200,507564.28847890353,438172.6745137268,351460.9327244073,1.444155640697916
1800,200,311503.68566226366,352478.1654288358,197630.8550319857,1.576189535848783
1500,400,650997.4422370755,790600.2524268618,553652.1403919176,1.1758239420446375
3400,600,402667.8514450693,601684.0545761321,357684.9896305755,1.1257611113649275
800,900,2466304.1903429944,2745171.1243480006,2314438.753561577,1.0656165286498591
1500,500,781617.9566977647,1029969.365474217,695183.7690020413,1.1243328621147217
1800,200,321915.1956667013,325770.5508989596,214781.68110936,1.4988019183199908
4600,200,180972.85155237632,171735.97453551966,153927.2635835206,1.1757036884773882
1700,800,1043907.4809848564,1413357.0610452422,960971.7869854468,1.086303984281971
1100,200,520685.02895988,406986.27468790713,358986.0748390983,1.4504323856942278
2900,500,408402.35019307665,590578.6389285704,336882.0939676591,1.2123005570972363
4600,300,195189.7213716445,196534.6033290472,143441.4983667211,1.3607618687349767
1300,800,1314208.1185326185,1672483.0640853825,1263572.8269824488,1.0400731089406952
1800,200,315547.99021431385,301927.0675069155,219380.37906833788,1.438360128441657
1100,200,525110.4578806866,528189.8455332465,393923.4812388474,1.3330265467528621
4600,200,163659.63030553242,140623.76674032703,112828.85828240226,1.4505121543985184
1100,200,464193.0998805301,436068.86804288166,364642.83830274583,1.2730075874824458
1800,200,327442.79565036204,376708.4291646798,240731.01631262898,1.360201941012551
2800,400,332415.0671980104,495844.11752798874,282421.2474404159,1.1770186209808524
1500,400,638562.7269651083,735634.22432971,546788.8911521651,1.1678414417300287
1100,200,490176.2816243005,516230.5588178229,386729.8665353067,1.2674901114200594
4800,900,429136.79080579133,483599.41714788316,375131.3809679989,1.143963988558983
3900,800,459781.21487109014,677498.9848645024,421190.9423274829,1.0916218006264784
1500,400,582713.8856324694,721556.9052597249,509607.5388928041,1.1434561719759864
1500,500,723561.7487806596,957637.8081228349,661962.9561917708,1.093054742735549
4600,300,208688.08083881263,215350.511919088,130823.99861272547,1.5951819471333082
4600,200,142707.82725517167,135512.30214045686,89579.42667687622,1.5930870798038927
2900,500,428924.92345978075,724438.3803950686,359577.81155278,1.1928570386685882
800,900,2404539.7821540465,2700033.2081940765,2272217.0103120096,1.058235094289637
1800,200,282315.32317025954,338663.24855392164,222837.29007390022,1.266912387404435
1500,400,605135.0818681297,750295.6555444126,517062.8064570028,1.1703318713148452
1500,500,740657.938299163,912969.9862813989,656760.4495093515,1.127744429270199
1300,800,1351741.1965591589,1655947.9162794927,1259379.5782442144,1.0733389836634575
4300,900,461024.8082770927,576732.4203314913,418751.3089875336,1.1009513245266478
4600,900,435686.15738002496,517198.1747127988,391441.44101008575,1.113030230666863
2900,500,392657.70517642,626876.3028567977,342394.6325129849,1.1467986583041103
1500,400,641983.5761883662,777784.1236677023,532846.2458092739,1.2048195539284265
1900,300,411517.6484190025,485169.979749673,330620.80676288164,1.244681641328579
1500,500,744283.3402693139,978622.7187719039,688680.4760887198,1.0807382612273024
3400,600,411971.3874114346,680621.4846694886,359748.2810247427,1.145165687068565
1800,200,307256.6596205644,368910.61201199866,236334.91843824298,1.3000899809938753
4600,200,137840.30918022472,129507.59750331662,85844.49615717569,1.6056976900167028
4600,300,198531.41020061538,201481.62872550898,131967.49793690105,1.5043962589602267
2800,400,337134.1337859859,485437.4801794794,278835.52028445917,1.2090788628437736
1900,300,407817.1577047712,474150.5939631281,313915.7202880368,1.2991294521044505
4900,200,114189.51283521434,110395.68055473581,82382.2700099313,1.3860933040743917
4600,200,171024.90891304234,166282.7830831955,115640.3076979828,1.4789385493482705
1700,800,1019407.2645987724,1382976.3931272002,966261.5735748138,1.0550013500250652
1500,400,633503.840430981,738243.4497875619,556610.2611466397,1.1381461763315994
800,900,2373613.7687268206,2722143.4284814917,2267709.32736105,1.0467010652943833
3900,800,483233.8716503923,719750.5866806565,419793.19274807145,1.1511236484970666
1500,500,779355.6655649649,951379.851448584,682388.2379183229,1.1421000865173885
2900,500,395672.80806281965,577717.1896456815,339703.68078069907,1.1647586718916134
1300,800,1271879.017317694,1612500.633251899,1196429.8388371367,1.063061933120867
3800,300,231482.89298424163,280095.76205763035,165310.40338144082,1.4002923485106558
1900,300,412386.66855212837,520345.2129627177,332675.0460353573,1.2396080603782322
1500,500,743360.6868319305,965232.3292143376,654464.7830271883,1.1358299271559877
4600,300,196560.33519171245,199903.68343764087,144863.04739585196,1.3568700833318297
3800,300,235406.25719123145,277474.0192074036,156957.8601440184,1.499805469921875
4600,200,131794.6197244327,129397.04285987526,87197.2004637001,1.5114547144125157
2900,500,413545.84265279106,631437.931193824,356214.03935623437,1.1609476240750343
4900,200,158917.64283753297,149632.62881811053,115155.9162563489,1.3800215221575414
800,900,2283908.0965111465,2661213.579226476,2227723.4772213735,1.0252206433447708
2800,400,368558.25992574706,569464.0936381714,296599.36092424154,1.2426131289604683
1500,500,776339.0583582316,1061382.911205862,671094.6253296195,1.156825027434722
3800,300,228393.64051335957,270165.33431383205,166337.52301767864,1.373073473560656
4600,200,165833.22863093897,169741.98585899165,124828.15119872103,1.328492227421839
3900,800,447250.2957959503,626823.0927792428,398809.9462790456,1.1214622402697327
1300,800,1317600.5506490443,1615594.682782424,1208238.343810785,1.0905137694052407
1900,300,386215.56118452514,492305.3592257742,313267.32003789954,1.2328625952359162
3400,600,420307.44750697946,652626.5402829027,340616.91486824735,1.2339594105875713
4900,200,168621.1863050389,169819.58082201416,137320.72161632078,1.2279369371228093
4600,300,181725.6167075722,191315.12887898445,130146.34906202793,1.3963174381554222
2900,200,184163.0905486678,211399.87113606854,139197.6286374701,1.3230332466963708
1900,300,403118.1143340117,471908.2412169765,318586.3806173213,1.2653337959798978
3800,300,228723.86173321068,273241.37420094764,156633.66001894977,1.4602471889218405
2800,400,356779.4187513308,494900.745389694,292922.6202600885,1.2179988641182553
2900,200,217758.8282876228,276011.34625459794,148086.19884723678,1.4704869865169483
4900,200,180462.59775464592,169377.65616512808,153927.2635835206,1.1723887864525526
4800,900,492837.66223048366,543043.9921238007,385739.7922602628,1.2776427843823817
2900,500,412962.16903428687,632668.6741611924,352959.43340602913,1.1699989572434326
2900,200,212191.2406415936,287241.4249763816,140061.75324508178,1.5149834678300704
800,900,2308732.4466653196,2605314.3204537802,2207786.2487730947,1.0457228130433018
3800,300,226049.54210567786,266391.142913603,159293.19030866065,1.4190785034040951
1300,800,1329721.9357791117,1658883.3862211255,1236262.3363370053,1.0755985171553664
2900,200,215830.73075934369,343049.8103825477,154293.44126561526,1.398832827817952
4600,300,187520.87945178588,206079.43460316153,131865.45573902348,1.4220621951431367
3800,300,225402.9108590404,280883.8293693988,144870.0706401176,1.5558970176730316
2900,200,216685.4014813203,257305.38505968146,122667.42726123251,1.766446124445629
3900,800,459519.92067379167,642316.0698255387,402746.11460359505,1.1409667381299917
2900,500,397892.51522458764,661599.1027065376,338516.2670830284,1.1754014619539568
1900,300,375811.1905592065,458415.7952442587,287603.0729893027,1.3067008869310122
2900,200,213875.3825265339,249709.5340551908,133312.76758512002,1.6043128231508266
4900,200,158571.859067519,135844.84970315965,112828.85828240226,1.4054193358105724
4300,900,529355.7620807496,627594.6478189599,430593.2564765724,1.2293638001029648
