P,n,Paper,Min Time,Time opt,mtsa
1400,300,633223.1622900101,621825.7053667085,448699.6663210537,1.4112405464481137
4300,200,130109.45571217148,127581.48913219191,93877.47047643333,1.385949739078597
1300,400,867851.0352634157,825382.2409742118,608099.5068370326,1.4271529996422034
2000,100,144205.05767002108,155544.9659922127,101448.71393746037,1.421457720586961
1500,500,938304.032055045,985682.906981975,680994.5757418879,1.3778436209023244
1100,500,1298315.1046383232,1208191.4731261912,928628.9669207562,1.3980988649787767
1400,300,603657.7623138968,590020.656195795,426028.47753376426,1.4169422800288152
4300,200,163495.72243487826,170215.04602282797,115155.9162563489,1.4197770097275766
1300,400,806923.5679145698,776228.0918854824,585602.0608316103,1.3779384020074348
3800,100,82704.67168177922,92405.18572838993,53394.05996708441,1.5489489230218452
1400,300,641896.414534189,611795.8494605387,451487.5624765563,1.4217366498717665
1800,200,322896.46593785234,290016.58750046336,224262.8461381463,1.4398125748343868
1100,500,1274973.2423912494,1135217.022762152,907729.5764016383,1.4045738681837538
1500,500,944833.0728783882,881329.66558398,665668.3560278681,1.4193750751745708
4300,200,178093.4021721575,186982.554218395,137320.72161632078,1.2969157172779584
1300,400,842252.1212971709,779883.9193453789,608291.9175639726,1.3846183008154027
2000,100,140437.4427862355,184946.09953498244,99055.94667602921,1.417758827196392
700,1000,4165010.3816750553,3273340.4619815634,2924177.9667973174,1.4243354641772197
1400,300,619171.6231778676,615425.9343186055,425148.5057657208,1.4563655164745275
1200,900,2106148.568199148,1869553.854923349,1500525.5238719955,1.4036072927066157
4200,700,475710.4945991436,509575.6658858222,339343.20231478993,1.401856561010034
3800,100,95029.3550292474,110107.48992142001,82739.16147748545,1.148541432283022
1300,400,839171.4330996451,773242.414526003,600568.8129203736,1.3972943899950838
1400,300,613694.1848026447,585702.0020311769,432367.2308377932,1.4193818148833717
4300,200,168468.4493881347,180895.56267636002,153927.2635835206,1.0944679029957813
1100,500,1274487.2494727753,1140011.0853187724,888143.702278374,1.435001167269785
1500,500,904743.2480683117,910634.0087861129,651305.3816708076,1.3891229422169897
2000,100,142162.20468928976,204982.24116182103,101743.19404389191,1.3972650065218233
1400,300,536484.141736885,549226.5010847636,390318.45619976794,1.3744780274041366
1800,200,337043.9714532805,367003.7345435668,238583.3203649926,1.4126887451212413
1300,400,871191.3920092878,860929.7115656715,638829.3927599048,1.363730914517756
4300,200,140393.09178286375,145533.77544860647,112828.85828240226,1.2443012711470522
3800,100,82893.08514947144,133486.9800834818,54290.25884700422,1.5268500631590847
1100,500,1282373.4749392453,1319662.4672555292,947977.8668209653,1.3527462188960935
2000,100,159448.96224191526,220247.26599146953,101778.59972724337,1.5666256233552316
1500,500,944651.9703223221,1033160.675547037,695183.7690020413,1.3588521660659605
1400,300,606206.1131010422,568146.316829103,427623.7183466632,1.4176157380718695
4300,200,139889.9566269697,150046.48593932536,89908.61069694141,1.5559127823529877
4300,1000,626370.3058768548,637715.3441360964,476028.9713390982,1.3158239174284654
700,1000,4000708.8940981957,3281221.2968552453,2807649.7989427694,1.4249315906865154
1300,400,865942.194254616,799354.7319444469,630910.259021729,1.3725283142444389
1200,900,2143257.979872407,2007336.0621703821,1542959.1690410513,1.3890568349935282
1400,300,599016.3842146683,607764.6581904939,433272.21171393426,1.3825405092218694
1100,500,1272461.39563352,1115757.4770134415,902676.7584433239,1.4096534376578986
1300,400,805996.5211857464,797469.9169834896,588008.6987224664,1.370722104854724
2000,100,148730.50153614432,147316.12762173355,104411.91965996657,1.4244590274798894
