mu,alpha,average,max
0.1,2.0,1.5417433434056422,2.6716978682970725
0.1,2.2,1.4734699857615583,2.531671611323844
0.1,2.4,1.431900565475252,2.516065310113104
0.1,2.6,1.3989348477404753,2.521553541472226
0.1,2.8,1.3730277895526797,2.358424491607427
0.1,3.0,1.3563238050384299,2.4509905110976185
0.12,2.0,1.5408739639039788,2.6716978682970725
0.12,2.2,1.4744880570168388,2.515591248170588
0.12,2.4,1.4313729829876092,2.431674846068626
0.12,2.6,1.400383088608965,2.4376734131171114
0.12,2.8,1.3781383898598911,2.476533723742401
0.12,3.0,1.358810199690695,2.570891630469704
0.14,2.0,1.5413851126169693,2.6716978682970725
0.14,2.2,1.4753311463032974,2.515591248170588
0.14,2.4,1.433923711691693,2.596913099962193
0.14,2.6,1.4035410521277252,2.497804374393364
0.14,2.8,1.379306656975086,2.536336695290119
0.14,3.0,1.3635913648147038,2.5918636572872398
0.16,2.0,1.544186203068151,2.6716978682970725
0.16,2.2,1.4789644632205514,2.7312875440775923
0.16,2.4,1.437983865968422,2.5144963275151557
0.16,2.6,1.406514693940368,2.593461210156483
0.16,2.8,1.3844139056039573,2.673939161332028
0.16,3.0,1.3704034092495125,2.671309309558533
0.18,2.0,1.546927149808359,2.683866807369521
0.18,2.2,1.48259627520595,2.617880709461077
0.18,2.4,1.4428069764715883,2.8291834068595905
0.18,2.6,1.4131248549292175,2.5196607322403093
0.18,2.8,1.3904272697553461,2.535389822962645
0.18,3.0,1.375226973970673,2.577263092980549
0.2,2.0,1.5474161885588649,2.6716978682970725
0.2,2.2,1.4853075586040323,2.515591248170588
0.2,2.4,1.4444307321410659,2.540999238579841
0.2,2.6,1.4151814624755954,2.677838483700194
0.2,2.8,1.3950223594983349,2.727973590056034
0.2,3.0,1.3823910781166178,2.7291072261575176
