i,Paper,Min Time,Time opt
1,7848828,6401893,2436794.786857616
2,8522084,7042866,2576822.5545886937
3,10651686,6983347,3239000.320481847
4,12143942,8080514,3717236.234059817
5,8727503,7453545,2627516.7146240585
6,11184211,6700164,3341801.0130078397
7,10815115,7957089,3272292.2891452042
8,10026816,8298686,3025493.9419644517
9,9363270,7017886,2885393.1218928313
10,10323972,8084459,3180859.0830482217
11,2288632,7475287,695949.7503037443
12,2111751,7112279,689580.9764586004
13,1397381,6071023,648486.2089159007
14,1525280,6735520,654292.812703227
15,2002973,6022208,680483.9164037626
16,2363800,5709005,708446.0548684844
17,2296831,7123521,704820.8410827803
18,1263854,7019980,676624.4427130695
19,1058243,5731210,705587.8103228756
20,2232503,7388682,664365.370392963
21,1646734,5835024,640319.276471287
22,1321922,7023360,690307.7181537312
23,2085554,8056652,685089.6095134421
24,2196627,6287185,662003.7117180271
25,1789705,6026284,662512.3984567322
26,2134653,6401009,668547.9561378651
27,1937084,6973029,680043.2235309207
28,2105939,7497594,693004.7815155316
29,1114746,6441599,669099.2209609596
30,2094526,5831392,708630.5724702912
