Time,Waiting Queue,Processors Queue,Number of available processors
0,"[0, 1, 2, 3, 4, 5, 6, 7]",[],1500
2437,"[1, 2, 3, 4, 5, 6, 7]",[],1500
4073,"[2, 3, 4, 5, 6, 7, 16]",[],1500
4722,"[3, 4, 5, 6, 7, 16]",[],1500
6044,"[4, 5, 6, 7, 16, 14]",[],1500
7470,"[5, 6, 7, 16, 14, 11]",[],1500
9083,"[6, 7, 16, 14, 11, 8]",[],1500
11898,"[7, 16, 8, 10, 12, 13, 15]","[14, 11]",1004
14483,"[7, 8, 10, 12, 13, 15]","[14, 16]",410
14688,"[7, 8, 10, 12, 13, 15, 22]",[14],1233
23473,"[7, 8, 10, 12, 13, 15, 22]",[],1500
24041,"[8, 10, 12, 13, 15, 22, 9]",[],1500
26361,"[10, 12, 13, 15, 22, 9]",[],1500
28861,"[12, 13, 15, 22, 9]",[],1500
29751,"[13, 15, 22, 9, 23, 24]",[],1500
32225,"[15, 22, 9, 23, 24, 20, 25, 28]",[],1500
33655,"[22, 9, 23, 24, 20, 25, 28, 18, 26, 27]",[],1500
33972,"[9, 23, 24, 20, 25, 28, 18, 26, 27]",[],1500
35950,"[20, 25, 28, 18, 26, 27]","[9, 23]",911
38404,"[20, 25, 28, 18, 26, 27]",[9],1210
43939,"[20, 25, 28, 18, 26, 27, 17, 19, 21]",[],1500
45692,"[25, 28, 18, 26, 27, 17, 19, 21]",[],1500
48178,"[28, 18, 26, 27, 17, 19, 21]",[],1500
50644,"[18, 26, 27, 17, 19, 21, 33]",[],1500
52281,"[26, 27, 17, 19, 21, 33]",[],1500
54319,"[27, 17, 19, 21, 33]",[],1500
56691,"[17, 19, 21, 33]",[],1500
56994,"[19, 21, 33, 29]",[],1500
58039,"[21, 33, 29, 31]",[],1500
61247,"[33, 29, 31, 30, 32]",[],1500
61317,"[31, 30, 32]",[33],430
62986,"[31, 30, 32, 39, 40, 44]",[],1500
64961,"[30, 32, 39, 40, 44, 45, 47]",[],1500
67610,"[32, 39, 40, 44, 45, 47, 35, 37, 41, 42]",[],1500
67889,"[39, 40, 44, 45, 47, 35, 37, 41, 42, 34, 36, 38, 43, 46]",[],1500
68938,"[40, 44, 45, 47, 35, 37, 41, 42, 34, 36, 38, 43, 46]",[],1500
69469,"[44, 45, 47, 35, 37, 41, 42, 34, 36, 38, 43, 46]",[],1500
70443,"[45, 47, 35, 41, 42, 34, 36, 38, 43]","[44, 46]",853
75678,"[47, 35, 41, 42, 34, 36, 38, 43]","[44, 46]",853
76459,"[47, 35, 41, 42, 36, 38, 43]","[44, 34]",591
77735,"[47, 35, 41, 42, 36, 38, 43]",[44],1315
79367,"[47, 35, 41, 42, 36, 38, 43, 48]",[],1500
80074,"[35, 41, 42, 36, 38, 43, 48, 55]",[],1500
81158,"[41, 42, 36, 38, 43, 48, 55]",[],1500
81792,"[42, 36, 38, 43, 48, 55]",[],1500
82408,"[36, 38, 43, 48, 55]",[],1500
83254,"[38, 43, 48, 55, 49, 56]",[],1500
84293,"[43, 48, 55, 49, 56, 50, 51, 53, 54]",[],1500
85066,"[48, 55, 49, 56, 50, 51, 53, 54, 52]",[],1500
86163,"[55, 49, 56, 50, 51, 53, 54, 52]",[],1500
87670,"[49, 56, 50, 51, 53, 54, 52]",[],1500
89687,"[56, 50, 51, 53, 54, 52, 58]",[],1500
90569,"[50, 51, 53, 52, 58]",[54],1307
92898,"[51, 53, 52, 58, 61]",[54],1307
94887,"[51, 53, 58, 61, 59]",[54],1307
94920,"[51, 53, 61, 59, 71]",[54],1307
101227,"[51, 53, 61, 71, 57, 60, 62]",[59],1364
104176,"[51, 53, 61, 71, 60, 62]",[59],1364
114626,"[51, 53, 61, 71, 60, 62]",[],1500
115218,"[53, 61, 71, 60, 62]",[],1500
115587,"[61, 71, 60, 62]",[],1500
116567,"[71, 60, 62, 65, 69, 70, 76]",[],1500
116669,"[60, 62, 65, 69, 70, 76]",[],1500
116703,"[62, 65, 69, 70, 76, 72, 73]",[],1500
117203,"[65, 69, 70, 76, 72, 73, 63, 64, 66, 67, 68, 74, 75]",[],1500
118876,"[69, 70, 76, 72, 73, 63, 64, 66, 67, 74, 75]",[68],1387
119188,"[70, 76, 73, 63, 64, 66, 67, 74, 75]","[68, 69]",632
122372,"[70, 76, 73, 63, 64, 66, 67, 74, 75]",[68],1387
149804,"[70, 76, 73, 63, 64, 66, 67, 74, 75, 89]",[],1500
150894,"[76, 73, 63, 64, 66, 67, 74, 75, 89]",[],1500
151969,"[73, 63, 64, 66, 67, 74, 75, 89]",[],1500
153262,"[63, 64, 66, 67, 74, 75, 89, 79]",[],1500
155382,"[64, 66, 67, 74, 75, 89, 79, 82, 83, 84]",[],1500
157336,"[66, 67, 74, 75, 89, 79, 82, 83, 84]",[],1500
158316,"[67, 74, 75, 89, 79, 82, 83, 84, 81]",[],1500
159698,"[74, 75, 89, 79, 82, 83, 84, 81, 87]",[],1500
161596,"[75, 89, 79, 82, 83, 84, 81, 87, 77, 80, 85, 86, 88]",[],1500
163188,"[89, 79, 82, 83, 84, 81, 87, 77, 80, 85, 86, 88, 78, 90]",[],1500
163699,"[79, 82, 83, 84, 81, 87, 77, 80, 85, 86, 88, 78, 90]",[],1500
165753,"[82, 83, 84, 81, 87, 77, 80, 85, 86, 88, 78, 90]",[],1500
166051,"[83, 84, 81, 87, 77, 80, 85, 86, 88, 78, 90]",[],1500
172113,"[84, 81, 87, 77, 80, 85, 86, 88, 78, 90]",[],1500
175252,"[81, 87, 77, 80, 85, 86, 88, 78, 90]",[],1500
177980,"[87, 77, 80, 85, 86, 88, 78, 90]",[],1500
179266,"[77, 80, 85, 86, 88, 78, 90]",[],1500
180544,"[80, 85, 86, 88, 78, 90, 93]",[],1500
181863,"[85, 86, 88, 78, 90, 93, 96]",[],1500
183456,"[86, 88, 78, 90, 93, 96]",[],1500
184906,"[88, 78, 90, 93, 96]",[],1500
186772,"[78, 90, 93, 96, 91]",[],1500
189415,"[90, 93, 96, 91, 92, 95, 97, 98, 99]",[],1500
191804,"[93, 96, 91, 92, 95, 97, 98, 99, 94]",[],1500
191882,"[96, 91, 92, 95, 97, 98, 99, 94]",[],1500
194008,"[91, 92, 95, 97, 98, 99, 94]",[],1500
194861,"[92, 95, 97, 98, 99, 94]",[],1500
196969,"[95, 97, 98, 99, 94]",[],1500
197910,"[97, 98, 99, 94]",[],1500
200391,"[98, 99, 94]",[],1500
202035,"[99, 94]",[],1500
202709,[94],[],1500
204862,[],[],1500
