Time,Waiting Queue,Processors Queue,Number of available processors
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",[],1500
4303,"[1, 3, 5, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 32]","[0, 4, 6, 8, 11]",330
8046,"[3, 5, 9, 10, 12, 13, 14, 15, 16, 17, 32]","[0, 4, 8, 11, 1, 7, 18]",364
9364,"[5, 9, 10, 12, 13, 14, 15, 16, 17, 32]","[0, 4, 8, 11, 1, 18, 3]",200
10682,"[5, 9, 10, 12, 13, 14, 15, 17, 32, 22]","[0, 4, 11, 1, 18, 3, 16]",304
10928,"[5, 9, 10, 12, 13, 14, 15, 17, 22]","[0, 4, 11, 1, 18, 3, 32]",256
13139,"[5, 9, 10, 12, 13, 14, 15, 17, 22]","[0, 4, 11, 1, 18, 32]",581
14936,"[9, 10, 12, 13, 14, 15, 17, 22]","[4, 11, 1, 18, 32, 5]",581
17587,"[10, 12, 13, 14, 15, 17, 22]","[11, 1, 18, 32, 5, 9]",415
20069,"[12, 13, 14, 15, 17, 22, 25]","[11, 1, 18, 32, 9, 10]",415
21249,"[13, 14, 15, 17, 22, 25]","[11, 1, 18, 32, 10, 12]",415
23970,"[14, 15, 17, 22, 25, 20]","[11, 1, 18, 32, 10, 13]",415
28052,"[15, 17, 22, 25, 20]","[11, 18, 32, 10, 13, 14]",203
28216,"[15, 17, 22, 25, 20]","[11, 18, 32, 10, 14]",528
30772,"[17, 22, 25, 20, 21, 29]","[11, 18, 32, 14, 15]",528
35817,"[22, 25, 20, 21, 29]","[11, 18, 14, 15, 17]",362
36337,"[25, 20, 21, 29, 33]","[11, 18, 14, 17, 22]",402
36803,"[20, 21, 29, 33, 26, 28]","[11, 18, 17, 22, 25]",402
37604,"[21, 29, 26, 28, 30, 31, 34]","[11, 18, 22, 25, 20, 33]",343
39902,"[29, 26, 28, 30, 31, 34]","[11, 18, 22, 25, 33, 21]",296
40705,"[29, 26, 28, 30, 31, 34]","[11, 18, 25, 33, 21]",581
41373,"[26, 28, 30, 31, 34, 27, 35]","[18, 25, 33, 21, 29]",402
42252,"[28, 30, 31, 34, 35, 44]","[18, 25, 21, 29, 26, 27]",142
42629,"[28, 30, 31, 34, 35, 44]","[18, 25, 21, 29, 26]",183
45362,"[28, 30, 31, 34, 35, 44]","[18, 21, 29, 26]",508
46481,"[30, 31, 34, 35, 44]","[18, 21, 26, 28]",508
51609,"[31, 34, 35, 44, 51]","[18, 26, 28, 30]",508
52843,"[34, 35, 44, 51]","[18, 28, 30, 31]",508
54197,"[35, 44, 51]","[18, 30, 31, 34]",508
55839,"[44, 51]","[18, 30, 31, 34]",508
60890,"[51, 42, 48]","[18, 31, 34, 44]",508
63446,[42],"[18, 31, 34, 44, 48]",213
64159,[42],"[18, 34, 44, 48]",538
66061,[41],"[18, 44, 48, 42]",567
67194,[],"[18, 44, 42, 41]",692
67537,[],"[18, 42, 41]",1017
68364,[],"[18, 41]",1313
89343,[68],[18],1483
101542,[],[18],1483
443131,"[19, 23, 24, 36]",[],1500
458758,"[36, 45, 47, 49, 53]","[24, 23]",1401
464287,[49],"[24, 23, 36, 47, 45]",931
464420,[],"[24, 36, 47, 45, 49]",692
467629,[],"[24, 36, 47, 45]",1017
468112,[64],"[24, 36, 45]",1342
474295,[],"[24, 36, 45]",1342
