P,n,Paper,Min Time,Time opt,mast
2000,100,5228.943145727952,158398.94059098535,101448.71393746037,0.05154272481907868
1100,200,4226.7020546571,429321.19270347885,366975.56640787574,0.01151766613791209
200,600,0,6124762.532992428,6080644.823719784,0.0
2000,100,40590.2424475913,188678.95291200202,99055.94667602921,0.4097708800900676
4800,300,11298.145503517339,197332.4542532478,142348.1066563424,0.07936983335362081
3600,200,4226.7020546571,159595.73552996127,112131.42306907315,0.037694180087712297
3400,200,4226.7020546571,190739.50174455903,118727.3891319598,0.03560005897172828
1100,200,0,481257.01959984406,390409.0696881697,0.0
2000,100,38969.05719944939,211651.61241020932,101743.19404389191,0.3830138965623408
2100,400,0,593581.7796274138,376442.5518514964,0.0
1100,200,26917.405508338983,503240.25128880236,369253.71310067014,0.07289677680505938
4500,300,11298.145503517339,207600.75495610005,142348.1066563424,0.07936983335362081
2000,100,0,193298.541826836,101778.59972724337,0.0
3600,200,9448.919539751918,242325.464931066,119291.6601824963,0.0792085509187872
200,600,0,6177834.807100561,6115720.777420626,0.0
2100,500,4198.795055733059,775342.2705497197,486424.69695849135,0.008631952863387114
4800,300,9532.774810903027,211973.89721368693,148288.0517849619,0.0642855219699485
400,900,0,4675783.103671737,4501576.5716159865,0.0
1100,200,9898.194713182336,541654.2098051723,373518.5222482448,0.02649987650841015
3400,200,9448.919539751918,257789.00862708612,126308.8166638196,0.07480807586774348
2000,100,0,144340.33065695022,104411.91965996657,0.0
3900,500,4198.795055733059,446884.2662119561,261920.99066995684,0.016030769603433213
3100,600,5933.286964585775,646742.4169505442,392299.6660464377,0.015124374242733702
200,600,0,5869102.956302021,5790487.552760205,0.0
3300,600,4092.1229134372757,604769.208173101,368523.92871028994,0.011104090113655122
2100,400,12588.18156151275,574956.9318989777,362515.56146718736,0.034724527439774895
2000,100,6483.573878739844,156874.07406664788,92238.58380523889,0.07029134242162546
1100,200,26212.801833484362,443785.52794601367,323395.9445977948,0.08105482542795964
3600,200,26917.405508338983,261007.14505354178,137320.72161632078,0.1960185264941093
3400,200,26917.405508338983,285385.8171357873,137320.72161632078,0.1960185264941093
2600,700,745.102594052026,911818.152127602,548169.7883546606,0.0013592551247460427
2000,100,38717.498840904314,201724.42765353073,101835.57449878904,0.3801962038458841
4500,300,9532.774810903027,206236.7609363811,148288.0517849619,0.0642855219699485
1500,900,9119.368897691722,1578926.1640183136,1200420.4190975963,0.007596812543847858
1100,200,0,435412.25064781704,351460.9327244073,0.0
200,600,0,6376944.850307253,6268521.525101105,0.0
4800,300,9277.47929102345,195272.49271755465,143441.4983667211,0.06467779127142649
2000,100,23614.723804880035,150841.94427535936,99436.03248105089,0.2374865852514801
3600,200,36958.092150973476,256587.15599554914,153969.03390395865,0.24003587743511365
1100,200,0,420943.39102703764,358986.0748390983,0.0
2000,100,785.8786163544584,168471.88644467364,94345.38784346236,0.00832980428951531
3600,700,6631.430344618901,682281.2646770066,395900.4027005882,0.016750249050981953
2100,400,11357.913986168363,621493.9486283995,376561.66325388785,0.03016216225524412
2100,500,9304.129379569937,712798.2401471285,475477.39716276294,0.019567974072140795
3400,200,36958.092150973476,271920.8418492444,154040.8405168634,0.23992398397052075
2000,100,23799.936971640334,241298.26242195256,106642.3722234613,0.22317523959209484
3600,200,26212.801833484362,231826.34615794162,112828.85828240226,0.23232355828573276
1100,200,6486.679512780712,516238.86161869846,393923.4812388474,0.016466851613873828
4500,300,9277.47929102345,212006.37540145594,143441.4983667211,0.06467779127142649
200,600,0,6303811.040007991,6271185.063687249,0.0
800,100,0,292323.89241441176,253621.78484365094,0.0
400,900,0,4870180.120664866,4628877.507123154,0.0
4500,1000,22264.550227978867,627910.8469609837,454872.1281684716,0.048946833294944626
5000,900,9119.368897691722,461779.01854904764,360126.1257292789,0.025322708479492858
3900,500,9304.129379569937,430542.7322451963,256026.29077994928,0.0363405232768329
1100,200,0,451047.8389146481,364642.83830274583,0.0
800,100,35729.92302649399,325612.59744116064,247639.86669007305,0.14428178913216266
3400,200,26212.801833484362,226969.08043786036,112828.85828240226,0.23232355828573276
800,100,38969.05719944939,338007.2487356619,254357.98510972978,0.15320555862493632
3600,200,8497.228465580005,194136.6771842696,107390.84055468,0.07912433147642127
4300,1000,22631.411635271405,664505.078928849,476028.9713390982,0.04754208881784627
1100,200,11283.339677038495,520542.1380199147,386729.8665353067,0.029176282085801558
3100,600,11606.398494226358,677017.170431677,394562.63080133067,0.029415858442180722
4800,300,6897.383291412604,204385.52304650398,130823.99861272547,0.05272261484554321
2100,400,1226.7582561672684,600136.145952811,371780.6937126122,0.003299682519597311
200,600,0,6194555.1212000325,6150199.769662079,0.0
800,100,0,338572.9330653603,254446.49931810846,0.0
3300,600,8650.446834172015,653223.5687944755,370649.7440860985,0.02333860193402048
4500,300,6897.383291412604,223963.75930668673,132268.424016002,0.05214686228194682
2700,1000,22264.550227978867,1197707.710829695,758120.2136141193,0.02936809997696678
2100,500,4443.978039876692,689522.0580083082,465218.1297648626,0.009552460997431103
800,100,0,288825.59478769364,261029.79914991642,0.0
800,100,0,278176.92704065016,230596.45951309722,0.0
2600,700,25302.987953314627,874418.8437327256,543847.512198016,0.046525887102158436
3400,200,8497.228465580005,204096.29176979634,113707.94882260237,0.07472853528328675
3600,200,6978.264364867537,170928.26219431512,109690.18953416894,0.063617944271067
200,600,0,6095028.813532957,6063751.036144509,0.0
800,100,37760.33459491787,344146.72928619897,254588.93624697262,0.14831883565547868
800,100,17265.552657006414,278341.21575081133,248590.08120262725,0.06945390811040912
3900,500,4443.978039876692,395588.030708654,250502.06987338755,0.017740284709514907
2100,400,15537.771801608134,622419.4144741397,395465.81456565537,0.03928979757371303
800,100,0,275807.0067010826,235863.4696086559,0.0
3400,200,6978.264364867537,182383.489718701,116142.55362441417,0.0600836140337855
4500,300,6435.577504276579,210730.86028907937,134514.2495939801,0.047843091149835995
400,900,18749.536675375675,4808353.922518075,4544434.020624019,0.004125824379952398
800,100,23799.936971640334,364673.5612234433,266605.93055865326,0.08927009583683793
4800,300,7361.911603671007,199257.30990764796,131967.49793690105,0.0557857936140536
3600,200,6776.292004235513,241039.26483756534,120365.50815631449,0.05629762303196841
200,600,0,6064231.262766744,5972329.13815111,0.0
